date,parameter_set,reference,compiled,absolute_error
2024-08-19,0,-1818.5716969645805,-1818.5716969645835,2.9558577807620168e-12
2024-08-19,1,5304.860232104132,5304.860232104138,6.366462912410498e-12
2024-08-19,2,4518.9371176532195,4518.937117653225,5.4569682106375694e-12
2024-08-19,3,4492.747081977322,4492.747081977319,2.7284841053187847e-12
2024-08-19,4,4263.588620852678,4263.588620852684,5.4569682106375694e-12
2024-08-19,5,4386.176924066572,4386.176924066572,0.0
2024-08-19,6,3756.3084202118853,3756.308420211882,3.183231456205249e-12
2024-08-19,7,-6912.597071623565,-6912.597071623556,9.094947017729282e-12
2024-08-19,8,4460.972408164572,4460.972408164577,5.4569682106375694e-12
2024-08-19,9,5073.844573245802,5073.844573245798,4.547473508864641e-12
2024-08-19,10,4032.4119181248475,4032.4119181248457,1.8189894035458565e-12
2024-08-19,11,-373.1537062287631,-373.15370622876367,5.684341886080801e-13
2024-08-19,12,4097.270051494804,4097.2700514947965,7.275957614183426e-12
2024-08-19,13,3954.828279868017,3954.828279868019,1.8189894035458565e-12
2024-08-19,14,5572.60786287325,5572.607862873242,8.185452315956354e-12
2024-08-19,15,1403.709500116076,1403.7095001160737,2.2737367544323206e-12
2024-08-19,16,4303.041232026794,4303.0412320268,5.4569682106375694e-12
2024-08-19,17,3984.055337254127,3984.05533725413,2.7284841053187847e-12
2024-08-19,18,3836.3688339437713,3836.3688339437754,4.092726157978177e-12
2024-08-19,19,4520.268548386285,4520.268548386284,9.094947017729282e-13
2026-07-20,0,4058.0152631430137,4058.015263143011,2.7284841053187847e-12
2026-07-20,1,230.77128610751083,230.7712861075084,2.4442670110147446e-12
2026-07-20,2,4343.189967624323,4343.189967624325,1.8189894035458565e-12
2026-07-20,3,4303.185102348859,4303.185102348872,1.2732925824820995e-11
2026-07-20,4,4338.873222059689,4338.873222059702,1.2732925824820995e-11
2026-07-20,5,3508.8445746998746,3508.8445746998746,0.0
2026-07-20,6,4966.904805717819,4966.904805717815,3.637978807091713e-12
2026-07-20,7,5154.347480500772,5154.347480500772,0.0
2026-07-20,8,4089.8482364872134,4089.8482364872216,8.185452315956354e-12
2026-07-20,9,4431.546446152533,4431.546446152528,4.547473508864641e-12
2026-07-20,10,4344.984741677869,4344.984741677868,9.094947017729282e-13
2026-07-20,11,4264.869340138992,4264.869340138983,9.094947017729282e-12
2026-07-20,12,4624.865688122688,4624.865688122695,7.275957614183426e-12
2026-07-20,13,4306.062754229748,4306.0627542297525,4.547473508864641e-12
2026-07-20,14,4224.35203892023,4224.352038920224,6.366462912410498e-12
2026-07-20,15,4137.325002370991,4137.325002370994,3.637978807091713e-12
2026-07-20,16,4320.36133582687,4320.361335826873,2.7284841053187847e-12
2026-07-20,17,4705.65855597888,4705.658555978894,1.3642420526593924e-11
2026-07-20,18,4047.357158284372,4047.3571582843833,1.1368683772161603e-11
2026-07-20,19,2164.9610237244474,2164.9610237244433,4.092726157978177e-12
