cohort,start_id,observation_noise_model,noise_parameter_name,start_kappa_slow,start_kappa_fast,start_theta,start_eta_slow,start_eta_fast,start_sigma_epsilon,estimate_kappa_slow,estimate_kappa_fast,estimate_theta,estimate_eta_slow,estimate_eta_fast,estimate_sigma_epsilon,log_likelihood,converged,iterations,message
2026-02-25,9,constant_log_futures,sigma_log_futures,2.0683765532731546,9.793361060849696,0.07340537226005842,0.08687639523956374,0.7391643138462441,0.004631578646755491,0.19647442625644274,15.638229571335065,-0.04119805796205944,0.043488789451513944,1.1324124224312795,0.0010463553303193189,5698.643227371306,True,35,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,8,constant_log_futures,sigma_log_futures,1.6719627151010144,32.64543130974995,0.1404024121465159,0.1799969327476237,0.2837021697143094,0.005998384428514482,0.19647388177075387,15.638229013279558,-0.04119887395189181,0.043488615393902884,1.1324101478327186,0.0010463546383794192,5698.643227364094,True,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,2,constant_log_futures,sigma_log_futures,0.75,12.0,0.1211649621076829,0.2432092177016507,0.6080230442541267,0.006171916051488985,0.19648405762509868,15.638293051961785,-0.04119222975918035,0.043488985534356324,1.1324176958030583,0.0010463550268588703,5698.643227363467,True,34,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,11,constant_log_futures,sigma_log_futures,0.683568151012932,6.521215913045797,0.11696356911885031,0.4042410826366641,0.4124713024709852,0.006412130542489207,0.1964875667595938,15.638298623146682,-0.04118887804978742,0.04348905296638452,1.132416043200193,0.0010463566565065362,5698.643227362889,True,41,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,4,constant_log_futures,sigma_log_futures,3.0,25.0,0.1211649621076829,0.3891347483226411,0.8512322619557774,0.006171916051488985,0.19647516377990393,15.638264548691188,-0.04119650990224395,0.043488549433979236,1.132410600658688,0.001046358416183644,5698.64322735032,True,41,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,1,constant_log_futures,sigma_log_futures,0.35,8.0,0.1211649621076829,0.17024645239115546,0.4864184354033014,0.006171916051488985,0.19646782884482736,15.638178884565821,-0.04120262831663913,0.04348888000864916,1.1324045534000342,0.001046357449044986,5698.643227348306,True,28,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,3,constant_log_futures,sigma_log_futures,1.5,18.0,0.1211649621076829,0.3161719830121459,0.729627653104952,0.006171916051488985,0.19648679337550676,15.638151959253097,-0.04118849463998806,0.0434889806039714,1.132402676604505,0.001046356407322385,5698.643227347533,True,38,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,0,constant_log_futures,sigma_log_futures,0.15,4.0,0.1211649621076829,0.12160460885082534,0.364813826552476,0.006171916051488985,0.1964815446669053,15.638331537611379,-0.04119285970212311,0.04348865117163547,1.132420148081621,0.0010463537175213267,5698.643227347326,True,23,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,5,constant_log_futures,sigma_log_futures,5.0,35.0,0.1211649621076829,0.4864184354033014,0.9728368708066027,0.006171916051488985,0.19646732662058647,15.638183616570798,-0.04120345394024673,0.04348849780424368,1.1324076650555523,0.0010463575003152158,5698.643227346433,True,33,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,10,constant_log_futures,sigma_log_futures,3.6313873516459405,6.903432857363258,0.09794995561919298,0.3686838134054268,0.7826039367675101,0.0031209299389552574,0.19646931556748212,15.638314201351921,-0.041203001762695264,0.04348912783413902,1.1324155027032925,0.0010463582846833544,5698.6432273374285,True,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,7,constant_log_futures,sigma_log_futures,0.3827375932483699,1.5424571156535538,0.1100221768177934,1.2194527315914332,0.33016762500340396,0.0036584908792509866,0.1964636516988318,15.638031121063714,-0.04120660701969493,0.04348862119216529,1.1323913492977424,0.0010463575019072665,5698.643227258702,True,37,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2026-02-25,6,constant_log_futures,sigma_log_futures,1.2776977012389195,41.252021781482064,0.1392877418005599,0.06493721850451843,0.7257358833203025,0.006444681214879562,1.2776977012389195,41.252021781482064,0.1392877418005599,0.06493721850451843,0.7257358833203025,0.006444681214879563,3966.488901765495,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
