cohort,entry_date,previous_expiry,option_contract,expiry,available_curve_dates,eligible,reason,hedge_contract_1,hedge_contract_2
2022-08-22,2022-08-22,2022-08-19,IM2209,2022-09-16,22,False,insufficient_488_date_history,,
2022-09-19,2022-09-19,2022-09-16,IM2210,2022-10-21,41,False,insufficient_488_date_history,,
2022-10-24,2022-10-24,2022-10-21,IM2211,2022-11-18,61,False,insufficient_488_date_history,,
2022-11-21,2022-11-21,2022-11-18,IM2212,2022-12-16,81,False,insufficient_488_date_history,,
2022-12-19,2022-12-19,2022-12-16,IM2301,2023-01-20,101,False,insufficient_488_date_history,,
2023-01-30,2023-01-30,2023-01-20,IM2302,2023-02-17,125,False,insufficient_488_date_history,,
2023-02-20,2023-02-20,2023-02-17,IM2303,2023-03-17,140,False,insufficient_488_date_history,,
2023-03-20,2023-03-20,2023-03-17,IM2304,2023-04-21,160,False,insufficient_488_date_history,,
2023-04-24,2023-04-24,2023-04-21,IM2305,2023-05-19,184,False,insufficient_488_date_history,,
2023-05-22,2023-05-22,2023-05-19,IM2306,2023-06-16,201,False,insufficient_488_date_history,,
2023-06-19,2023-06-19,2023-06-16,IM2307,2023-07-21,221,False,insufficient_488_date_history,,
2023-07-24,2023-07-24,2023-07-21,IM2308,2023-08-18,244,False,insufficient_488_date_history,,
2023-08-21,2023-08-21,2023-08-18,IM2309,2023-09-15,264,False,insufficient_488_date_history,,
2023-09-18,2023-09-18,2023-09-15,IM2310,2023-10-20,284,False,insufficient_488_date_history,,
2023-10-23,2023-10-23,2023-10-20,IM2311,2023-11-17,303,False,insufficient_488_date_history,,
2023-11-20,2023-11-20,2023-11-17,IM2312,2023-12-15,323,False,insufficient_488_date_history,,
2023-12-18,2023-12-18,2023-12-15,IM2401,2024-01-19,343,False,insufficient_488_date_history,,
2024-01-22,2024-01-22,2024-01-19,IM2402,2024-02-19,367,False,insufficient_488_date_history,,
2024-02-20,2024-02-20,2024-02-19,IM2403,2024-03-15,382,False,insufficient_488_date_history,,
2024-03-18,2024-03-18,2024-03-15,IM2404,2024-04-19,401,False,insufficient_488_date_history,,
2024-04-22,2024-04-22,2024-04-19,IM2405,2024-05-17,424,False,insufficient_488_date_history,,
2024-05-20,2024-05-20,2024-05-17,IM2406,2024-06-21,441,False,insufficient_488_date_history,,
2024-06-24,2024-06-24,2024-06-21,IM2407,2024-07-19,465,False,insufficient_488_date_history,,
2024-07-22,2024-07-22,2024-07-19,IM2408,2024-08-16,485,False,insufficient_488_date_history,,
2024-08-19,2024-08-19,2024-08-16,IM2409,2024-09-20,505,True,,IM2409,IM2503
2024-09-23,2024-09-23,2024-09-20,IM2410,2024-10-18,528,True,,IM2410,IM2503
2024-10-21,2024-10-21,2024-10-18,IM2411,2024-11-15,543,True,,IM2411,IM2506
2024-11-18,2024-11-18,2024-11-15,IM2412,2024-12-20,563,True,,IM2412,IM2506
2024-12-23,2024-12-23,2024-12-20,IM2501,2025-01-17,588,True,,IM2501,IM2506
2025-01-20,2025-01-20,2025-01-17,IM2502,2025-02-21,607,True,,IM2502,IM2509
2025-02-24,2025-02-24,2025-02-21,IM2503,2025-03-21,626,True,,IM2503,IM2509
2025-03-24,2025-03-24,2025-03-21,IM2504,2025-04-18,646,True,,IM2504,IM2509
2025-04-21,2025-04-21,2025-04-18,IM2505,2025-05-16,665,True,,IM2505,IM2512
2025-05-19,2025-05-19,2025-05-16,IM2506,2025-06-20,682,True,,IM2506,IM2512
2025-06-23,2025-06-23,2025-06-20,IM2507,2025-07-18,706,True,,IM2507,IM2512
2025-07-21,2025-07-21,2025-07-18,IM2508,2025-08-15,726,True,,IM2508,IM2603
2025-08-18,2025-08-18,2025-08-15,IM2509,2025-09-19,746,True,,IM2509,IM2603
2025-09-22,2025-09-22,2025-09-19,IM2510,2025-10-17,771,True,,IM2510,IM2603
2025-10-20,2025-10-20,2025-10-17,IM2511,2025-11-21,785,True,,IM2511,IM2606
2025-11-24,2025-11-24,2025-11-21,IM2512,2025-12-19,810,True,,IM2512,IM2606
2025-12-22,2025-12-22,2025-12-19,IM2601,2026-01-16,830,True,,IM2601,IM2606
2026-01-19,2026-01-19,2026-01-16,IM2602,2026-02-24,848,True,,IM2602,IM2609
2026-02-25,2026-02-25,2026-02-24,IM2603,2026-03-20,869,True,,IM2603,IM2609
2026-03-23,2026-03-23,2026-03-20,IM2604,2026-04-17,887,True,,IM2604,IM2609
2026-04-20,2026-04-20,2026-04-17,IM2605,2026-05-15,906,True,,IM2605,IM2612
2026-05-18,2026-05-18,2026-05-15,IM2606,2026-06-22,923,True,,IM2606,IM2612
2026-06-23,2026-06-23,2026-06-22,IM2607,2026-07-17,948,True,,IM2607,IM2612
2026-07-20,2026-07-20,2026-07-17,IM2608,2026-08-21,967,True,,IM2608,IM2703
