cohort,entry_date,previous_expiry,option_contract,expiry,study,scenario_count,option_side,hedge_contract_1,hedge_contract_2,sample_start,sample_end,sample_curve_dates,optimizer_converged,calibration_log_likelihood,locked_carry,kappa_slow,kappa_fast,theta,eta_slow,eta_fast,sigma_epsilon,kappa_gap_at_bound,eta_fast_at_bound,initial_premium_points,status,exit_date,exit_reason
2024-08-19,2024-08-19,2024-08-16,IM2409,2024-09-20,short_with_spot,5,-1,IM2409,IM2503,2022-08-16,2024-08-19,488,True,5812.5045977307755,0.11148546500274653,0.7620861545932694,15.477790422004981,0.040464082643243554,0.052666635661868404,1.1861908850717249,0.0008913000360851741,False,False,20.0854284212312,completed,2024-09-20,expiry
2024-09-23,2024-09-23,2024-09-20,IM2410,2024-10-18,short_with_spot,5,-1,IM2410,IM2503,2022-09-19,2024-09-23,488,True,5842.930025087587,0.13976383393055444,0.9696502055967376,15.625070513811991,0.04427943973745125,0.056699709556069774,1.1901534129328208,0.0008757915436001578,False,False,9.263830768243354,completed,2024-10-15,exercise
2024-10-21,2024-10-21,2024-10-18,IM2411,2024-11-15,short_with_spot,5,-1,IM2411,IM2506,2022-10-17,2024-10-21,488,True,5704.582269920222,0.05915595342410681,1.0325819462845869,17.723220569801146,0.04591644297413728,0.05915160042323462,1.4434015796662516,0.0009319538689418138,False,False,21.083986302902506,completed,2024-11-08,exercise
2024-11-18,2024-11-18,2024-11-15,IM2412,2024-12-20,short_with_spot,5,-1,IM2412,IM2506,2022-11-14,2024-11-18,488,True,5715.410780809669,0.048701550814097605,1.1422349353538628,17.67366000835639,0.04966903755198971,0.057649634097831165,1.4417019670384161,0.0009391899600018018,False,False,32.977381320381674,completed,2024-11-21,exercise
2024-12-23,2024-12-23,2024-12-20,IM2501,2025-01-17,short_with_spot,5,-1,IM2501,IM2506,2022-12-19,2024-12-23,488,True,5709.349081594074,0.08842798885426256,0.9607377764596039,18.289192816640533,0.0469273318155392,0.054348497810654706,1.4937539585834458,0.0009517941596043099,False,False,22.572875561550998,completed,2025-01-08,exercise
2025-01-20,2025-01-20,2025-01-17,IM2502,2025-02-21,short_with_spot,5,-1,IM2502,IM2509,2023-01-16,2025-01-20,488,True,5690.414849502757,0.08462278082762292,0.8945946194662469,18.155015476751878,0.04605010541063843,0.05098437355737311,1.4864487704513885,0.0009607897298739967,False,False,21.80967136980999,completed,2025-02-10,exercise
2025-02-24,2025-02-24,2025-02-21,IM2503,2025-03-21,short_with_spot,5,-1,IM2503,IM2509,2023-02-17,2025-02-24,488,True,5726.301117436348,0.20902610450974657,0.8861001721411105,18.602756204341798,0.04677855589465534,0.049867116308829236,1.5281426993294502,0.0009470183090170878,False,False,20.33757332747111,completed,2025-03-05,exercise
2025-03-24,2025-03-24,2025-03-21,IM2504,2025-04-18,short_with_spot,5,-1,IM2504,IM2509,2023-03-17,2025-03-24,488,True,5716.993013949497,0.186318381999109,0.9336178255954867,19.622309075781796,0.04717010691170971,0.05241545655824745,1.6187414700160054,0.0009406272045506963,False,False,23.443481425075692,completed,2025-04-08,exercise
2025-04-21,2025-04-21,2025-04-18,IM2505,2025-05-16,short_with_spot,5,-1,IM2505,IM2512,2023-04-14,2025-04-21,488,True,5634.543141561972,0.23394631361592952,1.0544526605259787,20.32913540225404,0.04916758391822921,0.054446756960979864,1.7522578113567207,0.0009746290931266396,False,False,21.003350234220164,completed,2025-05-13,exercise
2025-05-19,2025-05-19,2025-05-16,IM2506,2025-06-20,short_with_spot,5,-1,IM2506,IM2512,2023-05-12,2025-05-19,488,True,5637.385796131981,0.2248267300966136,1.0653638297525256,19.582651277437083,0.04983459183508791,0.0545647169235659,1.6963410218840531,0.0009822933943885925,False,False,31.152919821425474,completed,2025-06-20,expiry
