elapsed_sessions,remaining_sessions,exercise_grid_fraction,maximum_normalized_exercise_value,maximum_normalized_continuation_value
1,19,0.3659124613714882,0.05596133806275638,0.04808156529611973
2,18,0.37055202525248343,0.05489127227585977,0.04701269286991007
3,17,0.37528272342399815,0.05376494657278208,0.04588767157529346
4,16,0.38002999146651645,0.05257237855279151,0.044696534957608496
5,15,0.38487667873505604,0.051301573298085046,0.04342730731519728
6,14,0.3898642099071259,0.04993811180143981,0.042065592825474195
7,13,0.3948600260146975,0.04846465353504159,0.04059407896786393
8,12,0.3999884010902975,0.04686033452259086,0.03899193564316992
9,11,0.4052161953919189,0.04510003791838313,0.037234087040696834
10,10,0.41058483359707043,0.04315350858853784,0.035290327809316624
11,9,0.416251729480286,0.040984276175405676,0.03312424809232758
12,8,0.42214231862204954,0.03854834212192426,0.03069192300559881
13,7,0.4283808750548877,0.03579257447151263,0.027940310509754682
14,6,0.4350005385208076,0.03265273901423904,0.024805286426773276
15,5,0.4422084324073537,0.02905107522069772,0.021209225283716878
16,4,0.45021996503757217,0.024893298547616016,0.017058008895261947
17,3,0.4593085392830217,0.020064874474529648,0.012237308494342099
18,2,0.4701452349193462,0.014426360222929424,0.0066079369875510574
19,1,0.484387039046901,0.007807541943347429,0.0
