elapsed_sessions,remaining_sessions,exercise_grid_fraction,maximum_normalized_exercise_value,maximum_normalized_continuation_value
1,19,0.3772048284604104,0.07094613436729047,0.06466930380277743
2,18,0.3805933670806373,0.06874555957229422,0.06247461712569063
3,17,0.3839073412813481,0.0664379265624705,0.06017333017408109
4,16,0.38734558951458564,0.06401535944897763,0.05775760312740435
5,15,0.39073412813481245,0.06146936060126307,0.05521897756799103
6,14,0.394321505207082,0.05879075774149023,0.05254832388396464
7,13,0.3978591726663408,0.05596964599423382,0.04973578366242168
8,12,0.4015211141581263,0.052995324334836114,0.04677070652086918
9,11,0.4053404694244455,0.049856225808403765,0.04364158075418422
10,10,0.409226104174779,0.046539840809561195,0.0403359570932981
11,9,0.41330229244165334,0.043032632619078526,0.036840364778745485
12,8,0.4175193246120579,0.03931994428535046,0.03314021904516725
13,7,0.42195176510550864,0.03538589581406437,0.029219718989503506
14,6,0.4266741783415216,0.03121327048546807,0.025061734653188644
15,5,0.43176112873961275,0.02678338895213217,0.020647681983917286
16,4,0.43720433136428033,0.022075969577064147,0.01595738415160658
17,3,0.4433434685710972,0.01706897324781642,0.010968917471431494
18,2,0.450559647393145,0.01173843064125446,0.005658439928771458
19,1,0.45978906554212473,0.00605824960927559,0.0
