scenario_id,evaluation_date,contract,window_dates,sample_start,sample_end,accepted_observations,distinct_contracts,min_sessions_exclusive,kappa_gap_upper_bound,eta_fast_upper_bound,optimizer_starts,optimizer_maxiter,with_oos,price_options,kappa_slow,kappa_fast,theta,eta_slow,eta_fast,sigma_epsilon,kappa_gap,slow_half_life_sessions,fast_half_life_sessions,gap_at_upper_bound,eta_fast_at_upper_bound,log_likelihood,aic,bic,optimizer_converged,optimizer_message,latest_slow_state,latest_fast_state,latest_instantaneous_carry,latest_instantaneous_std,historical_spot_volatility,observed_initial_spot,observed_initial_futures,contract_sessions_to_expiry,posterior_carry_rmse_bps,posterior_futures_rmse_points,recursive_prior_carry_rmse_bps,recursive_prior_futures_rmse_points,option_price,normalized_option_price,locked_carry,model_initial_carry,model_initial_futures,initial_futures_model_error,slow_delta_pathwise,slow_delta_bump,fast_delta_pathwise,fast_delta_bump,fixed_carry_scale_delta,elapsed_seconds
w488_cap60_min5,2026-08-21,IM2612,488,2024-08-16,2026-08-21,1806,27,5,60.0,6.0,12,1500,False,True,2.620372003892372,62.620372003892356,0.10967329218383495,0.11633541237012301,3.9273610855895926,0.005874111891962668,59.999999999999986,64.54347390576584,2.7008448951103965,True,False,5349.925027931297,-10687.850055862595,-10654.856837458734,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.036470031939945774,-0.03800900801044928,0.10813431611333145,0.04316134043953665,0.2803074596440396,7601.804,7314.6,79,46.29208038072745,9.967626819457928,396.97102927414517,28.904522461901266,69.82475504237948,0.009185287471550105,0.13295227546645466,0.13043036611847839,7320.574954950262,5.974954950261235,-0.4014517247825362,-0.4013664782800968,-0.024048065368949014,-0.023965583927070665,0.009538151780709948,165.51005279998935
w488_cap90_min5,2026-08-21,IM2612,488,2024-08-16,2026-08-21,1806,27,5,90.0,6.0,12,1500,False,True,2.6790461213276235,72.35899187933902,0.10979019070608854,0.11989437517151172,4.50687672557104,0.005868082232429606,69.67994575801139,63.129899373592686,2.337344781401225,False,False,5351.226209913382,-10690.452419826765,-10657.459201422904,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.03671858468432239,-0.04532370142654295,0.10118507396386799,0.05081015855688849,0.2803074596440396,7601.804,7314.6,79,46.14626090816858,10.023050873597805,393.291327041693,28.84522459462164,67.75583324731706,0.008913125522220391,0.13295227546645466,0.13045305034479746,7320.52118930858,5.9211893085794145,-0.4002009356696129,-0.4002253400021476,-0.01829171078766814,-0.01828944815657875,0.00925560236698346,185.5201686000073
w488_cap120_min5,2026-08-21,IM2612,488,2024-08-16,2026-08-21,1806,27,5,120.0,6.0,12,1500,False,True,2.6790507947102378,72.35888385451824,0.1097902289749036,0.11989451633347836,4.50686829773527,0.005868082156165233,69.679833059808,63.12978924870265,2.3373482708311006,False,False,5351.226209913301,-10690.452419826603,-10657.459201422742,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.03671855017482901,-0.04532364201955382,0.10118513713017879,0.0508100960519756,0.2803074596440396,7601.804,7314.6,79,46.14625955386034,10.023053230435837,393.2913651316902,28.84522598484256,67.75583848103835,0.008913126210704505,0.13295227546645466,0.13045305062919088,7320.521188634519,5.92118863451833,-0.4002034450476324,-0.4002251985493555,-0.01829169109007013,-0.01828950006214479,0.009255603082774042,201.3733355000004
w488_cap180_min5,2026-08-21,IM2612,488,2024-08-16,2026-08-21,1806,27,5,180.0,6.0,12,1500,False,True,2.6790457017771385,72.35880447460752,0.10979020106293644,0.11989439206212052,4.5068642933546395,0.005868083610328723,69.67975877283038,63.12990926001601,2.33735083497652,False,False,5351.226209913572,-10690.452419827145,-10657.459201423284,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.036718562292927255,-0.04532353245968862,0.10118523089617507,0.05081002560943683,0.2803074596440396,7601.804,7314.6,79,46.1462609409485,10.023049565484927,393.29139554265237,28.845225497710135,67.75586082307534,0.008913129149748577,0.13295227546645466,0.1304530502444777,7320.521189546354,5.921189546354071,-0.40020354812034614,-0.40022531972863384,-0.018291725998406703,-0.018289537030635045,0.009255606133594718,217.7225780000008
w244_cap180_min5,2026-08-21,IM2612,244,2025-08-20,2026-08-21,904,15,5,180.0,6.0,12,1500,False,True,1.7843318087710027,70.01656776853419,0.12396206114758065,0.09995599800545024,4.007391454146306,0.005112420101756699,68.23223595976319,94.78501208422506,2.415541313246629,False,False,2775.878326843331,-5539.756653686662,-5510.915677524308,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.00804365801057283,0.02144885056394128,0.15345456972209476,0.04087529570425429,0.25997649376789345,7601.804,7314.6,79,39.534361653265776,8.883735086768056,367.57523891565137,31.40201835793325,61.51421327606328,0.008092054632829691,0.13295227546645466,0.12937275821963806,7323.082111776486,8.482111776485908,-0.39543240680449154,-0.39554234015755,-0.01423248825854097,-0.014275148560516924,0.008400044180460612,121.11769620000268
w732_cap180_min5,2026-08-21,IM2612,732,2023-08-15,2026-08-21,2705,39,5,180.0,6.0,12,1500,False,True,1.0878442451502164,43.647447980678294,0.07377201503984854,0.08040932923938918,3.1334164147250414,0.006319334789298375,42.55960373552808,155.47070530604535,3.8748637063842915,False,False,7827.561265275472,-15643.122530550943,-15607.705387403259,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.07297073255953747,-0.0314059050845994,0.1153368425147866,0.028368586602335783,0.2717752560991878,7601.804,7314.6,79,50.02769800301422,9.936040401555527,401.3039335627255,28.976411531772953,83.0786455542035,0.010928806577255017,0.13295227546645466,0.1306637045316667,7320.021920364872,5.421920364871767,-0.4442255411004915,-0.4442797270687068,-0.04396221624922803,-0.04396076299802242,0.011349507755307704,279.3998389999906
w991_cap180_min5,2026-08-21,IM2612,991,2022-07-22,2026-08-21,3667,52,5,180.0,6.0,12,1500,False,True,1.2225937059840546,44.125950952282466,0.08303737408022459,0.07955923220456546,2.840492910068367,0.005984790270072884,42.90335724629841,138.33533677526756,3.8328445825342223,False,False,10857.383384944955,-21702.76676988991,-21665.52399488148,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.06275741222245335,-0.02859289602759009,0.11720189027508784,0.027383904848400243,0.2487320852032056,7601.804,7314.6,79,47.400437159009535,9.367611494693477,366.2896296709133,26.53007789362755,74.67919313405986,0.009823877744553774,0.13295227546645466,0.13092381236110634,7319.405488919897,4.805488919896561,-0.44046324193820174,-0.4403607690831996,-0.04431625240487562,-0.04429765545036139,0.010202904217714005,371.65659420000156
w488_cap180_min10,2026-08-21,IM2612,488,2024-08-16,2026-08-21,1687,27,10,180.0,6.0,12,1500,False,True,2.3857986408397034,94.70338639769842,0.10960217617424615,0.11678340741727164,6.0,0.005155045795664782,92.31758775685871,70.88943264595899,1.7858697401420165,False,True,5201.18460151711,-10390.36920303422,-10357.784960538946,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.03504564638720337,-0.04907253345599605,0.09557528910545349,0.060195616714630716,0.2803074596440396,7601.804,7314.6,79,39.74355610348784,8.641397139705042,278.4573665414513,28.78963992405803,64.96761304602192,0.008546341506045397,0.13295227546645466,0.13036828429248104,7320.722101913463,6.122101913462757,-0.4041390684735868,-0.40414756457332557,-0.009424965595673695,-0.009391130267256884,0.00887448152540047,206.9132546000037
w488_cap180_min15,2026-08-21,IM2612,488,2024-08-16,2026-08-21,1567,27,15,180.0,6.0,12,1500,False,True,1.6843959747011186,18.513862740559166,0.1064290672824442,0.08894194459403598,1.3228719632386559,0.004122775763840254,16.829466765858047,100.40864179020431,9.13520395104315,False,False,5062.64104244969,-10113.28208489938,-10081.140575445244,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.03558110555190782,-0.008800541088699083,0.13320963174565292,0.009584144200972365,0.2803074596440396,7601.804,7314.6,79,31.544517246568127,6.60371431097963,245.92504664068252,29.73950944985701,85.50006108256876,0.011247338274252896,0.13295227546645466,0.1303809852083481,7320.691997835341,6.091997835340408,-0.40004193542596084,-0.3999488523853383,-0.12844863582478858,-0.12829966480864075,0.011679232114648495,180.05009799999243
w488_cap180_min20,2026-08-21,IM2612,488,2024-08-16,2026-08-21,1446,27,20,180.0,6.0,12,1500,False,True,1.3375940794107108,16.599785031385437,0.10178704787076817,0.07779995397838486,1.213234874161925,0.003134055312918321,15.262190951974727,126.44188147957225,10.188560378152744,False,False,4893.493238228262,-9774.986476456525,-9743.327138040213,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.03762075071155854,0.007102981098631216,0.14651077968095794,0.025302507096079944,0.2803074596440396,7601.804,7314.6,79,22.90631011168817,5.256225709134202,228.23714954068245,29.97778531617186,85.74870400580731,0.011280046684419556,0.13295227546645466,0.13162849201865331,7317.7357242612625,3.135724261262112,-0.40721817227387785,-0.4072789830758162,-0.14721868422471374,-0.1472771244803048,0.011717928500959056,181.44962090000627
