date,open,high,low,close,volume,hold,settle,contract,expiry,expiry_source
2022-07-22,7050.0,7085.2,6857.0,6956.6,22153,17517,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-07-25,6974.2,7015.8,6850.0,6878.6,22883,18747,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-07-26,6898.0,6994.0,6844.8,6991.0,19269,20386,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-07-27,6982.0,7074.4,6965.2,7066.2,19290,21390,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-07-28,7110.0,7171.4,7072.4,7119.0,22464,24584,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-07-29,7130.0,7152.0,7068.0,7087.0,25025,25557,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-01,7070.2,7141.0,7004.4,7136.6,22084,24149,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-02,7070.0,7075.0,6820.4,6948.2,37753,31769,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-03,6990.0,7062.0,6860.8,6882.8,32325,29243,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-04,6933.0,6942.8,6778.2,6890.8,35394,30899,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-05,6903.4,7080.8,6903.4,7080.0,31492,28786,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-08,7060.0,7145.0,7039.6,7132.2,20853,26514,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-09,7120.0,7164.8,7084.4,7160.6,18871,25359,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-10,7138.0,7202.0,7130.0,7168.4,21848,26391,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-11,7201.4,7287.6,7179.6,7284.8,22671,24871,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-12,7275.0,7306.0,7205.4,7222.4,19678,23573,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-15,7210.0,7297.6,7206.0,7266.0,20698,23063,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-16,7275.0,7361.4,7257.2,7311.0,21099,20891,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-17,7317.0,7346.4,7263.8,7327.6,18274,17086,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-18,7320.0,7370.4,7303.0,7358.8,14405,10606,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-08-19,7350.2,7377.8,7272.4,7277.8,8968,4642,0.0,IM2208,2022-08-19,contract_code_cffex_rule
2022-07-22,6987.0,7043.2,6807.0,6901.2,6710,5858,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-07-25,6914.0,6959.2,6790.2,6823.0,6248,6213,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-07-26,6833.2,6937.8,6793.0,6937.0,6357,7765,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-07-27,6910.0,7021.4,6910.0,7015.0,5374,7206,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-07-28,7068.8,7126.4,7023.4,7074.0,7766,9682,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-07-29,7081.6,7105.8,7027.8,7044.8,9450,11829,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-01,7032.0,7089.6,6960.2,7087.4,6742,10961,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-02,7015.2,7015.4,6774.0,6905.0,14493,14621,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-03,6935.0,7009.6,6816.0,6841.8,12043,15381,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-04,6891.0,6895.0,6729.0,6843.0,12415,17634,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-05,6863.8,7028.4,6855.2,7026.6,10251,17740,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-08,7017.2,7093.0,6987.0,7081.2,8044,17873,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-09,7068.2,7110.0,7030.6,7106.6,8627,19162,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-10,7082.6,7144.0,7075.0,7115.0,8796,19935,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-11,7165.0,7235.0,7126.6,7228.8,9386,21086,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-12,7233.4,7255.2,7153.6,7170.2,10474,22632,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-15,7166.6,7248.0,7155.4,7215.8,11935,24576,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-16,7225.2,7314.0,7208.8,7263.0,13890,27042,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-17,7267.6,7296.6,7211.2,7278.2,15826,31204,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-18,7263.4,7333.0,7253.0,7316.6,19946,35348,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-19,7319.0,7337.0,7183.2,7186.4,31515,41807,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-22,7179.8,7252.8,7119.4,7232.4,27615,41665,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-23,7224.0,7259.8,7208.6,7253.6,25221,40321,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-24,7263.0,7277.0,6951.4,6969.8,43723,45038,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-25,6995.0,6999.0,6865.0,6940.4,40047,44392,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-26,6968.6,7032.0,6886.4,6911.6,34552,44639,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-29,6810.0,6979.0,6805.0,6950.0,35892,45432,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-30,6954.2,6965.4,6887.2,6941.0,30897,43960,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-08-31,6918.4,6931.8,6699.0,6710.2,47768,48827,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-09-01,6720.0,6787.2,6649.8,6682.6,38108,43659,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-09-02,6706.4,6773.4,6669.8,6730.2,34760,42659,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-09-05,6726.4,6810.8,6691.8,6747.2,30586,38945,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-09-06,6770.0,6885.0,6738.0,6879.8,33895,40847,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-09-07,6851.0,6954.0,6851.0,6920.2,27172,37445,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-09-08,6921.4,6944.8,6864.0,6874.4,24336,36622,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-09-09,6893.0,6918.8,6836.2,6913.0,31079,35762,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-09-13,6935.2,6957.6,6872.0,6891.4,26519,30839,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-09-14,6810.0,6851.0,6784.8,6826.0,27940,26703,0.0,IM2209,2022-09-16,contract_code_cffex_rule
2022-09-15,6855.4,6860.0,6524.4,6596.4,29581,17024,0.0,IM2209,2022-09-16,contract_code_cffex_rule
