model,sample,n_carry,carry_rmse,carry_mae,carry_rmse_bps,carry_mae_bps,n_price,futures_rmse_points,futures_mae_points,carry_mean_bias,futures_mean_bias
two_factor_ou,in_sample,2931,0.00467660769520776,0.0034776282488228004,46.7660769520776,34.776282488228006,2931,9.12999423306763,5.819688509810101,3.780187714519436e-05,-0.2163135878005961
two_factor_ou,out_of_sample,736,0.03597710417047946,0.021343495550251324,359.7710417047946,213.43495550251325,736,33.15980213603577,25.002619325977886,-0.001139366109588051,-2.2927781331005974
one_factor_ou,in_sample,2931,0.017325144220064318,0.012420324407671273,173.25144220064317,124.20324407671274,2931,35.312748919989836,20.68083780027033,4.033549766567776e-05,-0.3180351674295014
one_factor_ou,out_of_sample,736,0.0402703355905966,0.029711224746270415,402.70335590596596,297.11224746270415,736,70.76062172170124,51.89025239180016,0.00816995386447579,-36.76273019215195
flat_same_day,in_sample,2931,0.028411743775386578,0.01726870464147355,284.1174377538658,172.6870464147355,2931,46.48873054996005,24.99733276071273,-1.8229096915757645e-19,5.280432216837677
flat_same_day,out_of_sample,736,0.023223403125645817,0.01587700758073739,232.23403125645817,158.7700758073739,736,51.8991885247313,30.31988186811402,-3.7711379912539284e-20,-4.355366275864403
previous_day_level,in_sample,2927,0.040046040902852936,0.02533369739284012,400.46040902852934,253.3369739284012,2927,55.111250915125844,32.65312604107813,4.315719989781916e-05,5.161875685210464
previous_day_level,out_of_sample,736,0.037345006339383306,0.025805289809752815,373.45006339383303,258.05289809752816,736,66.83027752852844,42.087298289898925,0.00018187010438626658,-5.0034719685817715
ewma_level,in_sample,2927,0.0430337950307634,0.02581476960275834,430.337950307634,258.14769602758344,2927,42.43592694968483,28.18449079741376,0.00016129492231636077,5.910462440759187
ewma_level,out_of_sample,736,0.0377215769493077,0.025005799484619486,377.215769493077,250.05799484619484,736,46.0903485194028,33.63875574957508,-0.0010019120250969024,-2.361038844150105
