window_start,window_end,n_dates,n_observations,model,kappa_slow,kappa_fast,theta,eta_slow,eta_fast,sigma_epsilon,slow_half_life_sessions,fast_half_life_sessions,log_likelihood,converged,message,kappa,eta,half_life_sessions
2022-07-22,2024-07-25,488,1806,two_factor_ou,1.4401512679039914,38.0031579452287,0.06975938232488019,0.08004661555356554,2.4479787647026052,0.005455346330664309,117.43760244212184,4.450364685492161,5471.06121341833,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,
2022-07-22,2024-07-25,488,1806,one_factor_ou,,,0.07014552685165419,,,0.017122429138315926,,,4227.792606498335,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.429251458569789,0.8210739071413143,16.216687528197728
2023-02-01,2025-02-06,488,1805,two_factor_ou,1.8400990919004094,42.71395029057683,0.06467541699569251,0.08477039394154305,3.0000000000000004,0.0054938550850684555,91.91239363199483,3.959547429026674,5407.569816427796,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,
2023-02-01,2025-02-06,488,1805,one_factor_ou,,,0.07152333076299079,,,0.01806878885495648,,,4103.020471746024,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.34561119755125,1.0,13.699436127566786
2023-08-04,2025-08-08,488,1804,two_factor_ou,1.6787905134354753,42.66494923843437,0.06495209200583746,0.09299595045038715,3.0000000000000004,0.006025259563069725,100.74390503346571,3.964095002467955,5237.161315595583,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,
2023-08-04,2025-08-08,488,1804,one_factor_ou,,,0.0860999112688379,,,0.021801388503743357,,,3794.2665664664355,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.950694961471246,0.9624153723321519,18.895506190820598
2024-02-07,2026-02-12,488,1806,two_factor_ou,1.8948541272193078,48.69334157372411,0.08790757112115093,0.0937210447863131,3.0000000000000004,0.006512656061885351,89.25642856995083,3.473327288507376,5243.688094367623,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,
2024-02-07,2026-02-12,488,1806,one_factor_ou,,,0.11001179891574271,,,0.0175357915867265,,,4086.800416920861,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.856640903319816,1.0,13.154906738738793
2024-08-16,2026-08-21,488,1806,two_factor_ou,2.51856422446794,51.788751608953234,0.10874643691439505,0.11199772745484125,3.0000000000000004,0.005916108520554064,67.15251110674211,3.2657267611638634,5338.26814775372,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,
2024-08-16,2026-08-21,488,1806,one_factor_ou,,,0.11806000338222641,,,0.016609444619339508,,,4151.844407883319,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.589964971501754,1.0,13.433549055891676
