lag,acf,model,sample
0,1.0,two_factor_ou,full
1,0.18973720117891124,two_factor_ou,full
2,0.09492791374338883,two_factor_ou,full
3,0.061137282831770626,two_factor_ou,full
4,0.05958177301606146,two_factor_ou,full
5,0.014333933868346997,two_factor_ou,full
6,-0.008734988229291698,two_factor_ou,full
7,-0.06738678774741844,two_factor_ou,full
8,0.02218859282259225,two_factor_ou,full
9,0.07146589301044617,two_factor_ou,full
10,0.1356790855787065,two_factor_ou,full
11,-0.021833387497359736,two_factor_ou,full
12,-0.031373607427830116,two_factor_ou,full
13,-0.004198593994406823,two_factor_ou,full
14,0.003926134844987807,two_factor_ou,full
15,-0.0037958003452640172,two_factor_ou,full
16,0.0038362413184663937,two_factor_ou,full
17,0.02015235582598652,two_factor_ou,full
18,0.0522572172306014,two_factor_ou,full
19,0.08365568269334166,two_factor_ou,full
20,-0.01275044022573181,two_factor_ou,full
0,1.0,two_factor_ou,in_sample
1,0.2023418626372706,two_factor_ou,in_sample
2,0.07576843119986147,two_factor_ou,in_sample
3,0.035665279502078005,two_factor_ou,in_sample
4,0.03177205355642543,two_factor_ou,in_sample
5,-0.018873152173960534,two_factor_ou,in_sample
6,-0.033320166357857915,two_factor_ou,in_sample
7,-0.09297409138697602,two_factor_ou,in_sample
8,0.016904464554059747,two_factor_ou,in_sample
9,0.06434898823825345,two_factor_ou,in_sample
10,0.13247535237098265,two_factor_ou,in_sample
11,-0.024546485038119854,two_factor_ou,in_sample
12,-0.04979462884385137,two_factor_ou,in_sample
13,-0.02887039535442533,two_factor_ou,in_sample
14,-0.0028970566767629624,two_factor_ou,in_sample
15,-0.0018706755929567024,two_factor_ou,in_sample
16,0.006239508964640775,two_factor_ou,in_sample
17,-0.005082765641137348,two_factor_ou,in_sample
18,0.057056486685613604,two_factor_ou,in_sample
19,0.08295690564003673,two_factor_ou,in_sample
20,0.005793208325690703,two_factor_ou,in_sample
0,1.0,two_factor_ou,out_of_sample
1,0.11559192739488651,two_factor_ou,out_of_sample
2,0.17562916513297064,two_factor_ou,out_of_sample
3,0.172588640458982,two_factor_ou,out_of_sample
4,0.18872013178458424,two_factor_ou,out_of_sample
5,0.1711794808804139,two_factor_ou,out_of_sample
6,0.09780156252310464,two_factor_ou,out_of_sample
7,0.04469973596594971,two_factor_ou,out_of_sample
8,0.04522838801452955,two_factor_ou,out_of_sample
9,0.10506575665025909,two_factor_ou,out_of_sample
10,0.1484958188156226,two_factor_ou,out_of_sample
11,-0.015225459102984375,two_factor_ou,out_of_sample
12,0.0638481458928244,two_factor_ou,out_of_sample
13,0.11756986242685921,two_factor_ou,out_of_sample
14,0.02704019331292323,two_factor_ou,out_of_sample
15,-0.03906830687951098,two_factor_ou,out_of_sample
16,-0.04058396791756861,two_factor_ou,out_of_sample
17,0.0985619028610765,two_factor_ou,out_of_sample
18,-0.010884048729222289,two_factor_ou,out_of_sample
19,0.05140631589133527,two_factor_ou,out_of_sample
20,-0.13566935830319107,two_factor_ou,out_of_sample
0,1.0,one_factor_ou,full
1,-0.08118379599389854,one_factor_ou,full
2,0.04882359731644213,one_factor_ou,full
3,0.04093142024502976,one_factor_ou,full
4,0.16713974290501907,one_factor_ou,full
5,0.1026003205359774,one_factor_ou,full
6,0.08961190466113032,one_factor_ou,full
7,0.08986625867018604,one_factor_ou,full
8,0.09720454339720395,one_factor_ou,full
9,0.18788207297600765,one_factor_ou,full
10,0.1759760762988382,one_factor_ou,full
11,0.10411092046848217,one_factor_ou,full
12,0.06059736111269272,one_factor_ou,full
13,0.07802183204404865,one_factor_ou,full
14,0.12314323687451814,one_factor_ou,full
15,0.14734339817101685,one_factor_ou,full
16,0.13702861876956074,one_factor_ou,full
17,0.11789193226895352,one_factor_ou,full
18,0.11193276920989984,one_factor_ou,full
19,0.11223242263255534,one_factor_ou,full
20,0.12087790236966112,one_factor_ou,full
0,1.0,one_factor_ou,in_sample
1,-0.07035251663447249,one_factor_ou,in_sample
2,0.02615971179508946,one_factor_ou,in_sample
3,0.026973041839339715,one_factor_ou,in_sample
4,0.13959669081724438,one_factor_ou,in_sample
5,0.07627137309874644,one_factor_ou,in_sample
6,0.07922418038856842,one_factor_ou,in_sample
7,0.06622432360470192,one_factor_ou,in_sample
8,0.06778026165869655,one_factor_ou,in_sample
9,0.1858558986546336,one_factor_ou,in_sample
10,0.16294438911623887,one_factor_ou,in_sample
11,0.0887181417233313,one_factor_ou,in_sample
12,0.057764870933249286,one_factor_ou,in_sample
13,0.02457373523122606,one_factor_ou,in_sample
14,0.112302350128759,one_factor_ou,in_sample
15,0.14304840291150758,one_factor_ou,in_sample
16,0.1393479081370552,one_factor_ou,in_sample
17,0.06262515565564591,one_factor_ou,in_sample
18,0.09989741356928145,one_factor_ou,in_sample
19,0.11327572607458128,one_factor_ou,in_sample
20,0.13374220920802243,one_factor_ou,in_sample
0,1.0,one_factor_ou,out_of_sample
1,-0.3336355662626682,one_factor_ou,out_of_sample
2,-0.0297046554460326,one_factor_ou,out_of_sample
3,-0.08698136501948042,one_factor_ou,out_of_sample
4,0.11792981787165682,one_factor_ou,out_of_sample
5,0.0405627825542833,one_factor_ou,out_of_sample
6,-0.04443619656808875,one_factor_ou,out_of_sample
7,0.009633012725458688,one_factor_ou,out_of_sample
8,0.0506687295961381,one_factor_ou,out_of_sample
9,0.03916232422231222,one_factor_ou,out_of_sample
10,0.06699983538090568,one_factor_ou,out_of_sample
11,-0.009532073685736768,one_factor_ou,out_of_sample
12,-0.09042984654153584,one_factor_ou,out_of_sample
13,0.1317806720963443,one_factor_ou,out_of_sample
14,-0.013883661059975643,one_factor_ou,out_of_sample
15,-0.014553014707955713,one_factor_ou,out_of_sample
16,-0.05325252934092175,one_factor_ou,out_of_sample
17,0.19120666787384197,one_factor_ou,out_of_sample
18,-0.007150447792579681,one_factor_ou,out_of_sample
19,-0.06436605241576282,one_factor_ou,out_of_sample
20,-0.1026430953382944,one_factor_ou,out_of_sample
