maturity_bucket,n,mean_carry_residual,carry_rmse,mean_futures_residual,futures_rmse,model
6-21,783,0.0029204424416165112,0.02490002491146134,-0.902640090610781,6.473622765493462,two_factor_ou
22-42,931,-0.0008100655292630855,0.005842508284667641,0.5864161637492884,4.569396701422142,two_factor_ou
43-63,344,0.00038730916666580503,0.003759752267700846,-0.43416323667707296,5.11806808842334,two_factor_ou
64-126,1029,-6.034478845323672e-05,0.0020303591996121456,0.28713721569782363,4.4646848170233575,two_factor_ou
127-189,580,9.363087469407765e-05,0.0009221272714699949,-0.441546291090774,3.397826284074979,two_factor_ou
6-21,783,0.0053980661652702575,0.06281185341305902,-0.5367223652506853,18.33259298339545,one_factor_ou
22-42,931,-0.0004937227481952431,0.02531646701752029,1.7488364001247705,19.247309295805383,one_factor_ou
43-63,344,-0.00114321702011715,0.01183030154247976,2.5357926395260995,15.445943458384939,one_factor_ou
64-126,1029,0.0004498262458381045,0.005044328677748628,-0.9454884061933162,11.603512006787387,one_factor_ou
127-189,580,-0.0002530704625393402,0.003541920766797341,-0.26886719041193563,12.6847325177179,one_factor_ou
