lag,acf,model,sample
0,1.0,two_factor_ou,full
1,0.1197494828968566,two_factor_ou,full
2,0.05807203746984897,two_factor_ou,full
3,0.06501842095383156,two_factor_ou,full
4,0.10525525900559483,two_factor_ou,full
5,0.08146817726021434,two_factor_ou,full
6,0.09032274963347219,two_factor_ou,full
7,-0.04693174274471462,two_factor_ou,full
8,0.038205310490232514,two_factor_ou,full
9,0.07181586087090765,two_factor_ou,full
10,0.13442168171993013,two_factor_ou,full
11,0.03121052709424827,two_factor_ou,full
12,0.012659471036197321,two_factor_ou,full
13,0.054888752571902066,two_factor_ou,full
14,0.06804230696360372,two_factor_ou,full
15,0.046530181428122444,two_factor_ou,full
16,0.03323489664427902,two_factor_ou,full
17,0.012974224737608961,two_factor_ou,full
18,0.017102614151178402,two_factor_ou,full
19,0.04014742242494086,two_factor_ou,full
20,-0.008976354338186878,two_factor_ou,full
0,1.0,two_factor_ou,in_sample
1,0.11680815637410881,two_factor_ou,in_sample
2,0.012146993049695442,two_factor_ou,in_sample
3,0.025472403079931448,two_factor_ou,in_sample
4,0.07792865325111593,two_factor_ou,in_sample
5,0.061878570165960683,two_factor_ou,in_sample
6,0.07943543932150302,two_factor_ou,in_sample
7,-0.07882915150577859,two_factor_ou,in_sample
8,0.0201995558786663,two_factor_ou,in_sample
9,0.04093444468730538,two_factor_ou,in_sample
10,0.11357176885727464,two_factor_ou,in_sample
11,0.017725723009498026,two_factor_ou,in_sample
12,-0.003588494278362548,two_factor_ou,in_sample
13,0.02491246689313288,two_factor_ou,in_sample
14,0.07375059484297244,two_factor_ou,in_sample
15,0.05649044812384642,two_factor_ou,in_sample
16,0.03839804343829053,two_factor_ou,in_sample
17,-0.008557942330720918,two_factor_ou,in_sample
18,0.03349083442213372,two_factor_ou,in_sample
19,0.03922329729956731,two_factor_ou,in_sample
20,0.008946891842500524,two_factor_ou,in_sample
0,1.0,two_factor_ou,out_of_sample
1,0.12366339831195745,two_factor_ou,out_of_sample
2,0.2391260946652834,two_factor_ou,out_of_sample
3,0.2195157405555706,two_factor_ou,out_of_sample
4,0.2160886438506118,two_factor_ou,out_of_sample
5,0.16226038444363092,two_factor_ou,out_of_sample
6,0.12727217521236314,two_factor_ou,out_of_sample
7,0.07647522612135679,two_factor_ou,out_of_sample
8,0.10785688794164074,two_factor_ou,out_of_sample
9,0.19566599827199194,two_factor_ou,out_of_sample
10,0.21847845282176823,two_factor_ou,out_of_sample
11,0.08551910936946538,two_factor_ou,out_of_sample
12,0.08274956279294433,two_factor_ou,out_of_sample
13,0.1804895821381483,two_factor_ou,out_of_sample
14,0.0497539526973727,two_factor_ou,out_of_sample
15,0.0016124588030788046,two_factor_ou,out_of_sample
16,-0.003503338382464353,two_factor_ou,out_of_sample
17,0.08957459031118979,two_factor_ou,out_of_sample
18,-0.06475212816188679,two_factor_ou,out_of_sample
19,0.029428147476209105,two_factor_ou,out_of_sample
20,-0.09533172238652075,two_factor_ou,out_of_sample
0,1.0,one_factor_ou,full
1,0.07553192753421513,one_factor_ou,full
2,0.053853528076690076,one_factor_ou,full
3,0.05227168996902227,one_factor_ou,full
4,0.1207270269050472,one_factor_ou,full
5,0.0739427413006017,one_factor_ou,full
6,0.05387819794832247,one_factor_ou,full
7,0.02831891560622257,one_factor_ou,full
8,0.06485219735998801,one_factor_ou,full
9,0.16385244794797676,one_factor_ou,full
10,0.17203685493146775,one_factor_ou,full
11,0.02989280665464097,one_factor_ou,full
12,0.023768213691860926,one_factor_ou,full
13,0.03247838791027426,one_factor_ou,full
14,0.050833354535947464,one_factor_ou,full
15,0.08828790529697289,one_factor_ou,full
16,0.08245515283272443,one_factor_ou,full
17,0.0764741081774468,one_factor_ou,full
18,0.06160644814028489,one_factor_ou,full
19,0.0912327348546833,one_factor_ou,full
20,0.028074278951742984,one_factor_ou,full
0,1.0,one_factor_ou,in_sample
1,0.09466970323635618,one_factor_ou,in_sample
2,0.03426134067510899,one_factor_ou,in_sample
3,0.03270958419705968,one_factor_ou,in_sample
4,0.0909270194276825,one_factor_ou,in_sample
5,0.04659797031837774,one_factor_ou,in_sample
6,0.035342153210001864,one_factor_ou,in_sample
7,0.00016388026364314885,one_factor_ou,in_sample
8,0.04524253840006815,one_factor_ou,in_sample
9,0.15452385070387675,one_factor_ou,in_sample
10,0.16138424387278272,one_factor_ou,in_sample
11,0.013974104699603345,one_factor_ou,in_sample
12,0.0030297973104782393,one_factor_ou,in_sample
13,-0.022845974887949105,one_factor_ou,in_sample
14,0.030421299343166633,one_factor_ou,in_sample
15,0.08274322486711319,one_factor_ou,in_sample
16,0.07814981027629297,one_factor_ou,in_sample
17,0.02116454012841834,one_factor_ou,in_sample
18,0.04860784533225194,one_factor_ou,in_sample
19,0.08070717351173182,one_factor_ou,in_sample
20,0.026136313732588935,one_factor_ou,in_sample
0,1.0,one_factor_ou,out_of_sample
1,-0.14223508574731863,one_factor_ou,out_of_sample
2,0.025865904133198645,one_factor_ou,out_of_sample
3,0.03345143891479062,one_factor_ou,out_of_sample
4,0.15247209577110518,one_factor_ou,out_of_sample
5,0.08910300737131323,one_factor_ou,out_of_sample
6,0.014265063408992456,one_factor_ou,out_of_sample
7,0.033468115476735366,one_factor_ou,out_of_sample
8,0.04335870832322736,one_factor_ou,out_of_sample
9,0.10276899689776026,one_factor_ou,out_of_sample
10,0.10762432575662192,one_factor_ou,out_of_sample
11,-0.03870483556653286,one_factor_ou,out_of_sample
12,0.004027227533293633,one_factor_ou,out_of_sample
13,0.181104236676977,one_factor_ou,out_of_sample
14,0.013550048266047937,one_factor_ou,out_of_sample
15,-0.01895167687057012,one_factor_ou,out_of_sample
16,-0.03211432673934992,one_factor_ou,out_of_sample
17,0.21444717951536751,one_factor_ou,out_of_sample
18,-0.010466961166146621,one_factor_ou,out_of_sample
19,0.017036871354005837,one_factor_ou,out_of_sample
20,-0.10317670197450865,one_factor_ou,out_of_sample
