model,sample,error_kind,n_carry,carry_rmse_percentage_points,carry_mae_percentage_points,carry_rmse_bps,carry_mae_bps,n_price,futures_rmse_points,futures_mae_points,carry_mean_bias_bps,futures_mean_bias_points
legacy_curve,in_sample,filtered,2931,1.7325143489826005,1.2420324156247518,173.25143489826004,124.20324156247517,2931,35.312752923265194,20.6808388650039,0.40332274815240415,-0.3180223549675674
exact_rho0_curve,in_sample,filtered,2931,1.7344823105064662,1.2438950526124375,173.4482310506466,124.38950526124376,2931,35.37657738337554,20.719353945396133,0.30376238348471546,-0.3501990467440847
exact_corr_curve,in_sample,filtered,2931,1.7344992781319786,1.2438334197074503,173.44992781319786,124.38334197074504,2931,35.37620326295056,20.71780037436429,-0.17397924538630014,-0.301247014048286
exact_rho0_joint,in_sample,filtered,2931,1.7342971234978986,1.243955711216663,173.42971234978987,124.39557112166631,2931,35.395063206559456,20.72804382188313,0.3029023022985388,-0.34930655068743677
exact_corr_joint,in_sample,filtered,2931,1.7339428789912232,1.243788851081846,173.39428789912233,124.3788851081846,2931,35.417291227717364,20.738817802868972,0.258448882966914,-0.35315853165643973
legacy_curve,out_of_sample,predicted,736,4.027033408244155,2.971122154693049,402.70334082441553,297.1122154693049,736,70.76060266434891,51.890239146599754,81.69951843309765,-36.76271588256977
exact_rho0_curve,out_of_sample,predicted,736,4.026286917699942,2.970781204726667,402.62869176999413,297.0781204726667,736,70.88591202758634,51.94638223029374,80.99439811016337,-36.74288441740484
exact_corr_curve,out_of_sample,predicted,736,4.025412794647773,2.9654908702588885,402.54127946477723,296.5490870258888,736,70.47371249690438,51.640705305616436,76.58637923068125,-36.11847045451511
exact_rho0_joint,out_of_sample,predicted,736,4.029778378504256,2.9736054300853914,402.9778378504256,297.36054300853914,736,70.91960958785434,51.98119538776459,81.08349455878515,-36.759153241170544
exact_corr_joint,out_of_sample,predicted,736,4.075440402861879,3.00929285756674,407.54404028618796,300.929285756674,736,71.27672796271384,52.32383879853536,81.0617139265524,-36.76015289867707
flat_same_day,in_sample,benchmark,2931,2.8411743775386578,1.7268704641473551,284.1174377538658,172.6870464147355,2931,46.48873054996005,24.99733276071273,-1.8229096915757646e-15,5.280432216837677
flat_same_day,out_of_sample,benchmark,736,2.322340312564582,1.587700758073739,232.23403125645817,158.7700758073739,736,51.8991885247313,30.31988186811402,-3.7711379912539286e-16,-4.355366275864403
previous_day,in_sample,benchmark,2927,4.0046040902852935,2.533369739284012,400.46040902852934,253.3369739284012,2927,55.111250915125844,32.65312604107813,0.4315719989781916,5.161875685210464
previous_day,out_of_sample,benchmark,736,3.7345006339383304,2.5805289809752816,373.45006339383303,258.05289809752816,736,66.83027752852844,42.087298289898925,1.8187010438626658,-5.0034719685817715
ewma,in_sample,benchmark,2927,4.30337950307634,2.5814769602758343,430.337950307634,258.14769602758344,2927,42.43592694968483,28.18449079741376,1.6129492231636078,5.910462440759187
ewma,out_of_sample,benchmark,736,3.7721576949307702,2.5005799484619486,377.215769493077,250.05799484619484,736,46.0903485194028,33.63875574957508,-10.019120250969024,-2.361038844150105
