contract,status,rows,message
IM2207,error,0,"ValueError: Length mismatch: Expected axis has 0 elements, new values have 8 elements"
IM2208,ok,21,
IM2209,ok,40,
IM2210,ok,39,
IM2211,ok,40,
IM2212,ok,100,
IM2301,ok,44,
IM2302,ok,39,
IM2303,ok,159,
IM2304,ok,44,
IM2305,ok,41,
IM2306,ok,160,
IM2307,ok,43,
IM2308,ok,43,
IM2309,ok,159,
IM2310,ok,39,
IM2311,ok,39,
IM2312,ok,159,
IM2401,ok,44,
IM2402,ok,39,
IM2403,ok,157,
IM2404,ok,42,
IM2405,ok,40,
IM2406,ok,162,
IM2407,ok,44,
IM2408,ok,40,
IM2409,ok,161,
IM2410,ok,38,
IM2411,ok,35,
IM2412,ok,164,
IM2501,ok,44,
IM2502,ok,38,
IM2503,ok,161,
IM2504,ok,39,
IM2505,ok,36,
IM2506,ok,163,
IM2507,ok,44,
IM2508,ok,40,
IM2509,ok,164,
IM2510,ok,39,
IM2511,ok,39,
IM2512,ok,165,
IM2601,ok,38,
IM2602,ok,39,
IM2603,ok,161,
IM2604,ok,37,
IM2605,ok,36,
IM2606,ok,163,
IM2607,ok,44,
IM2608,ok,44,
IM2609,ok,144,
IM2612,ok,86,
IM2703,ok,25,
IM2706,error,0,"ValueError: Length mismatch: Expected axis has 0 elements, new values have 8 elements"
