model,mode,variant,parameter,estimate,standard_error,fixed,log_likelihood,curve_log_likelihood,return_log_likelihood,n_likelihood_observations,n_estimated_parameters,aic,bic,optimizer_converged,optimizer_message,gradient_norm,hessian_stable,half_life_sessions
legacy_curve,curve,legacy,kappa,8.233913156643139,,False,6433.166387459801,6433.166387459801,0.0,2931,4,-12858.332774919601,-12834.400379156757,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.02111458110454548,False,20.54040513169293
legacy_curve,curve,legacy,theta,0.08476573020750627,,False,6433.166387459801,6433.166387459801,0.0,2931,4,-12858.332774919601,-12834.400379156757,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.02111458110454548,False,20.54040513169293
legacy_curve,curve,legacy,eta,0.8284781277333637,,False,6433.166387459801,6433.166387459801,0.0,2931,4,-12858.332774919601,-12834.400379156757,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.02111458110454548,False,20.54040513169293
legacy_curve,curve,legacy,sigma_epsilon,0.020027097191229856,,False,6433.166387459801,6433.166387459801,0.0,2931,4,-12858.332774919601,-12834.400379156757,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.02111458110454548,False,20.54040513169293
legacy_curve,curve,legacy,rho,0.0,,True,6433.166387459801,6433.166387459801,0.0,2931,4,-12858.332774919601,-12834.400379156757,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.02111458110454548,False,20.54040513169293
legacy_curve,curve,legacy,sigma,0.25,,True,6433.166387459801,6433.166387459801,0.0,2931,4,-12858.332774919601,-12834.400379156757,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.02111458110454548,False,20.54040513169293
exact_rho0_curve,curve,exact,kappa,8.266284033042592,,False,6431.321655841426,6431.321655841426,0.0,2931,4,-12854.643311682852,-12830.710915920008,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.008055576896287811,False,20.45996863652111
exact_rho0_curve,curve,exact,theta,0.08919671467072787,,False,6431.321655841426,6431.321655841426,0.0,2931,4,-12854.643311682852,-12830.710915920008,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.008055576896287811,False,20.45996863652111
exact_rho0_curve,curve,exact,eta,0.8263521029420777,,False,6431.321655841426,6431.321655841426,0.0,2931,4,-12854.643311682852,-12830.710915920008,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.008055576896287811,False,20.45996863652111
exact_rho0_curve,curve,exact,sigma_epsilon,0.020049610375113023,,False,6431.321655841426,6431.321655841426,0.0,2931,4,-12854.643311682852,-12830.710915920008,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.008055576896287811,False,20.45996863652111
exact_rho0_curve,curve,exact,rho,0.0,,True,6431.321655841426,6431.321655841426,0.0,2931,4,-12854.643311682852,-12830.710915920008,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.008055576896287811,False,20.45996863652111
exact_rho0_curve,curve,exact,sigma,0.25,,True,6431.321655841426,6431.321655841426,0.0,2931,4,-12854.643311682852,-12830.710915920008,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.008055576896287811,False,20.45996863652111
exact_corr_curve,curve,exact,kappa,8.267244214332083,,False,6431.43506525509,6431.43506525509,0.0,2931,5,-12852.87013051018,-12822.954635806625,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.5622278802122247,False,20.45759235749039
exact_corr_curve,curve,exact,theta,0.11352514755957517,,False,6431.43506525509,6431.43506525509,0.0,2931,5,-12852.87013051018,-12822.954635806625,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.5622278802122247,False,20.45759235749039
exact_corr_curve,curve,exact,eta,0.8261364438847371,,False,6431.43506525509,6431.43506525509,0.0,2931,5,-12852.87013051018,-12822.954635806625,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.5622278802122247,False,20.45759235749039
exact_corr_curve,curve,exact,rho,-0.9743926508516626,,False,6431.43506525509,6431.43506525509,0.0,2931,5,-12852.87013051018,-12822.954635806625,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.5622278802122247,False,20.45759235749039
exact_corr_curve,curve,exact,sigma_epsilon,0.02005016264472992,,False,6431.43506525509,6431.43506525509,0.0,2931,5,-12852.87013051018,-12822.954635806625,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.5622278802122247,False,20.45759235749039
exact_corr_curve,curve,exact,sigma,0.25,,True,6431.43506525509,6431.43506525509,0.0,2931,5,-12852.87013051018,-12822.954635806625,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.5622278802122247,False,20.45759235749039
exact_rho0_joint,joint,exact,kappa,8.277379643386084,,False,8603.164370332328,6431.944569372706,2171.2198009596214,3722,5,-17196.328740664656,-17165.218658478643,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.003789439992886847,False,20.43254258511216
exact_rho0_joint,joint,exact,theta,0.08920350339996982,,False,8603.164370332328,6431.944569372706,2171.2198009596214,3722,5,-17196.328740664656,-17165.218658478643,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.003789439992886847,False,20.43254258511216
exact_rho0_joint,joint,exact,eta,0.8271358187319582,,False,8603.164370332328,6431.944569372706,2171.2198009596214,3722,5,-17196.328740664656,-17165.218658478643,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.003789439992886847,False,20.43254258511216
