model,start_id,start_kappa,start_theta,start_eta,start_rho,start_sigma_epsilon,start_mu,estimate_kappa,estimate_theta,estimate_eta,estimate_rho,estimate_sigma_epsilon,estimate_mu,log_likelihood,converged,iterations,gradient_norm,message
legacy_curve,2,6.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.93314339550093,0.09310201266287135,0.8077192964859571,0.0,0.020782040223660144,0.0,7950.936235707204,True,18,0.0019654346849672668,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
legacy_curve,3,12.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.933137270964652,0.09310201530588647,0.8077185597975413,0.0,0.020782043117000267,0.0,7950.9362357071595,True,18,0.009861623841610987,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
legacy_curve,0,0.5,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.933133016305768,0.09310200801875465,0.807718296433103,0.0,0.02078204137010691,0.0,7950.936235706965,True,22,0.001505481611304204,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
legacy_curve,1,2.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.933148875838862,0.09310200008787078,0.8077193381900153,0.0,0.02078204100905791,0.0,7950.9362357062655,True,21,0.023901029339203024,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
legacy_curve,4,25.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.933156923340064,0.09310203035233834,0.8077205027984228,0.0,0.02078204246505748,0.0,7950.936235704683,True,21,0.012653748514096383,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_rho0_curve,2,6.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.957750822455212,0.09761644648364803,0.8065126080336728,0.0,0.020796704791164092,0.0,7949.507614317877,True,19,0.0027284841069232287,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_rho0_curve,3,12.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.957755479079657,0.0976164412379747,0.8065125002994795,0.0,0.020796705754570582,0.0,7949.507614317742,True,15,0.005440268591896668,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_rho0_curve,0,0.5,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.957738482714934,0.09761644374555885,0.8065115445703623,0.0,0.02079670267280024,0.0,7949.507614317307,True,19,0.004842578900356406,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_rho0_curve,4,25.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.957767029643926,0.09761644992127079,0.8065128056778352,0.0,0.02079671413888983,0.0,7949.507614315374,True,24,0.009133065930925572,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_rho0_curve,1,2.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.957735203935815,0.09761641329270959,0.8065102381289507,0.0,0.020796706442375183,0.0,7949.50761431528,True,16,0.020489080826867807,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_corr_curve,4,25.0,0.102431662393523,0.4386919155284036,0.75,0.02745291632948948,0.15279377362436963,7.9584502380708475,0.11386856136968315,0.8063978346309584,-0.6420016055443872,0.020796710703978125,0.0,7949.564330310255,True,70,0.9764487184893574,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_corr_curve,2,6.0,0.102431662393523,0.4386919155284036,0.4,0.02745291632948948,0.15279377362436963,7.958352436885626,0.11428837509765256,0.8064709020834443,-0.6585074639684704,0.020797568044700974,0.0,7949.564320166552,True,62,1.8793259949904484,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_corr_curve,3,12.0,0.102431662393523,0.4386919155284036,-0.75,0.02745291632948948,0.15279377362436963,7.958440953291623,0.11680420923599955,0.806388773802209,-0.7579382205661593,0.0207969579508465,0.0,7949.562762890506,True,22,0.11960356755527653,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_corr_curve,1,2.0,0.102431662393523,0.4386919155284036,-0.4,0.02745291632948948,0.15279377362436963,7.958074428549841,0.10673019605872713,0.8064638677799587,-0.35994557203007244,0.020796852188016253,0.0,7949.553059066456,True,21,0.08861736668718381,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_corr_curve,0,0.5,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.95797589774062,0.10503246050967349,0.8064518168393631,-0.29290707414360606,0.02079676635404687,0.0,7949.547234339405,True,19,0.1261608486670234,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_rho0_joint,4,25.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.967648222083638,0.09761965143984723,0.807201285069238,0.0,0.02079477171205738,0.16127258806911432,10646.287570155404,True,36,0.01717283996086165,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_rho0_joint,3,12.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.967644744933732,0.09761961621260393,0.8071987004968445,0.0,0.020794769879361328,0.16126339372116136,10646.287570150569,True,22,0.006623719479074297,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_rho0_joint,2,6.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.967687160559613,0.09761965722363602,0.8072032557391553,0.0,0.020794764515685342,0.16126047758358417,10646.287570149896,True,33,0.014009761458511101,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_rho0_joint,1,2.0,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.967723927865589,0.09761973993657319,0.8072104348970364,0.0,0.02079482975439856,0.16127744358046814,10646.287570065102,True,28,0.0426664506515331,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_rho0_joint,0,0.5,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.967561391793501,0.09761907217796913,0.8071946546607054,0.0,0.02079471952320947,0.1612721954263371,10646.28756987306,True,26,0.7196500725830578,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_corr_joint,0,0.5,0.102431662393523,0.4386919155284036,0.0,0.02745291632948948,0.15279377362436963,7.966731811448405,0.0984465361837705,0.8073193719265614,-0.03276592879683365,0.020793696782449463,0.16228026474124382,10646.699806118935,True,35,0.002329443032417696,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_corr_joint,3,12.0,0.102431662393523,0.4386919155284036,-0.75,0.02745291632948948,0.15279377362436963,7.966733074458775,0.098446544051909,0.8073195011088524,-0.032766125601464184,0.020793699741155715,0.16228273239213972,10646.69980611717,True,43,0.005253070083189398,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_corr_joint,4,25.0,0.102431662393523,0.4386919155284036,0.75,0.02745291632948948,0.15279377362436963,7.966748482542068,0.0984465046030394,0.8073240165385027,-0.032760261009956784,0.02079366115270056,0.16226169691378411,10646.699806082264,True,44,0.08746615800583224,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_corr_joint,2,6.0,0.102431662393523,0.4386919155284036,0.4,0.02745291632948948,0.15279377362436963,7.966762083091604,0.09844664282254671,0.8073285159052509,-0.032765250697649496,0.020793491610970338,0.16227189962148178,10646.69980584698,True,43,0.062314127791585565,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
exact_corr_joint,1,2.0,0.102431662393523,0.4386919155284036,-0.4,0.02745291632948948,0.15279377362436963,7.9667492168313165,0.0984467773645494,0.8073234149755574,-0.03277440319799947,0.020793709574938042,0.16395478447491238,10646.69971384305,True,22,0.13285834358158505,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
