model,mode,variant,parameter,estimate,standard_error,fixed,log_likelihood,curve_log_likelihood,return_log_likelihood,n_likelihood_observations,n_estimated_parameters,aic,bic,optimizer_converged,optimizer_message,gradient_norm,hessian_stable,half_life_sessions
legacy_curve,curve,legacy,kappa,7.93314339550093,0.2749888231852059,False,7950.936235707204,7950.936235707204,0.0,3667,4,-15893.872471414408,-15869.043954742123,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0019654346849672668,True,21.319154794623152
legacy_curve,curve,legacy,theta,0.09310201266287135,0.0008751160165164799,False,7950.936235707204,7950.936235707204,0.0,3667,4,-15893.872471414408,-15869.043954742123,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0019654346849672668,True,21.319154794623152
legacy_curve,curve,legacy,eta,0.8077192964859571,0.027415621883505905,False,7950.936235707204,7950.936235707204,0.0,3667,4,-15893.872471414408,-15869.043954742123,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0019654346849672668,True,21.319154794623152
legacy_curve,curve,legacy,sigma_epsilon,0.020782040223660144,0.00028786173509769467,False,7950.936235707204,7950.936235707204,0.0,3667,4,-15893.872471414408,-15869.043954742123,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0019654346849672668,True,21.319154794623152
legacy_curve,curve,legacy,rho,0.0,,True,7950.936235707204,7950.936235707204,0.0,3667,4,-15893.872471414408,-15869.043954742123,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0019654346849672668,True,21.319154794623152
legacy_curve,curve,legacy,sigma,0.25,,True,7950.936235707204,7950.936235707204,0.0,3667,4,-15893.872471414408,-15869.043954742123,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0019654346849672668,True,21.319154794623152
exact_rho0_curve,curve,exact,kappa,7.957750822455212,0.27569166787731586,False,7949.507614317877,7949.507614317877,0.0,3667,4,-15891.015228635753,-15866.186711963468,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0027284841069232287,True,21.253230445389274
exact_rho0_curve,curve,exact,theta,0.09761644648364803,0.0008965826453789608,False,7949.507614317877,7949.507614317877,0.0,3667,4,-15891.015228635753,-15866.186711963468,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0027284841069232287,True,21.253230445389274
exact_rho0_curve,curve,exact,eta,0.8065126080336728,0.02737181645025498,False,7949.507614317877,7949.507614317877,0.0,3667,4,-15891.015228635753,-15866.186711963468,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0027284841069232287,True,21.253230445389274
exact_rho0_curve,curve,exact,sigma_epsilon,0.020796704791164092,0.00028804860552685625,False,7949.507614317877,7949.507614317877,0.0,3667,4,-15891.015228635753,-15866.186711963468,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0027284841069232287,True,21.253230445389274
exact_rho0_curve,curve,exact,rho,0.0,,True,7949.507614317877,7949.507614317877,0.0,3667,4,-15891.015228635753,-15866.186711963468,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0027284841069232287,True,21.253230445389274
exact_rho0_curve,curve,exact,sigma,0.25,,True,7949.507614317877,7949.507614317877,0.0,3667,4,-15891.015228635753,-15866.186711963468,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0027284841069232287,True,21.253230445389274
exact_corr_curve,curve,exact,kappa,7.9584502380708475,0.27573581999051056,False,7949.564330310255,7949.564330310255,0.0,3667,5,-15889.12866062051,-15858.093014780154,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.9764487184893574,True,21.25136263937032
exact_corr_curve,curve,exact,theta,0.11386856136968315,0.05393064188848137,False,7949.564330310255,7949.564330310255,0.0,3667,5,-15889.12866062051,-15858.093014780154,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.9764487184893574,True,21.25136263937032
exact_corr_curve,curve,exact,eta,0.8063978346309584,0.027370859462811408,False,7949.564330310255,7949.564330310255,0.0,3667,5,-15889.12866062051,-15858.093014780154,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.9764487184893574,True,21.25136263937032
exact_corr_curve,curve,exact,rho,-0.6420016055443872,2.1302789592322573,False,7949.564330310255,7949.564330310255,0.0,3667,5,-15889.12866062051,-15858.093014780154,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.9764487184893574,True,21.25136263937032
exact_corr_curve,curve,exact,sigma_epsilon,0.020796710703978125,0.0002880535747530856,False,7949.564330310255,7949.564330310255,0.0,3667,5,-15889.12866062051,-15858.093014780154,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.9764487184893574,True,21.25136263937032
exact_corr_curve,curve,exact,sigma,0.25,,True,7949.564330310255,7949.564330310255,0.0,3667,5,-15889.12866062051,-15858.093014780154,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.9764487184893574,True,21.25136263937032
exact_rho0_joint,joint,exact,kappa,7.967648222083638,0.2761452408779577,False,10646.287570155404,7949.851931469233,2696.4356386861705,4657,5,-21282.575140310808,-21250.344506595895,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.01717283996086165,True,21.226829717188195
exact_rho0_joint,joint,exact,theta,0.09761965143984723,0.0008959743736016127,False,10646.287570155404,7949.851931469233,2696.4356386861705,4657,5,-21282.575140310808,-21250.344506595895,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.01717283996086165,True,21.226829717188195
exact_rho0_joint,joint,exact,eta,0.807201285069238,0.02739384375865933,False,10646.287570155404,7949.851931469233,2696.4356386861705,4657,5,-21282.575140310808,-21250.344506595895,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.01717283996086165,True,21.226829717188195
exact_rho0_joint,joint,exact,sigma_epsilon,0.02079477171205738,0.00028796475798034996,False,10646.287570155404,7949.851931469233,2696.4356386861705,4657,5,-21282.575140310808,-21250.344506595895,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.01717283996086165,True,21.226829717188195
exact_rho0_joint,joint,exact,mu,0.16127258806911432,0.12411677638199639,False,10646.287570155404,7949.851931469233,2696.4356386861705,4657,5,-21282.575140310808,-21250.344506595895,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.01717283996086165,True,21.226829717188195
exact_rho0_joint,joint,exact,rho,0.0,,True,10646.287570155404,7949.851931469233,2696.4356386861705,4657,5,-21282.575140310808,-21250.344506595895,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.01717283996086165,True,21.226829717188195
exact_rho0_joint,joint,exact,sigma,0.25,,True,10646.287570155404,7949.851931469233,2696.4356386861705,4657,5,-21282.575140310808,-21250.344506595895,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.01717283996086165,True,21.226829717188195
exact_corr_joint,joint,exact,kappa,7.966731811448405,0.27608282469855994,False,10646.699806118935,7950.267733639218,2696.4320724797167,4657,6,-21281.39961223787,-21242.722851779978,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.002329443032417696,True,21.22927143268277
exact_corr_joint,joint,exact,theta,0.0984465361837705,0.0012850474408159698,False,10646.699806118935,7950.267733639218,2696.4320724797167,4657,6,-21281.39961223787,-21242.722851779978,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.002329443032417696,True,21.22927143268277
exact_corr_joint,joint,exact,eta,0.8073193719265614,0.027414659862476976,False,10646.699806118935,7950.267733639218,2696.4320724797167,4657,6,-21281.39961223787,-21242.722851779978,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.002329443032417696,True,21.22927143268277
exact_corr_joint,joint,exact,rho,-0.03276592879683365,0.03605053954603195,False,10646.699806118935,7950.267733639218,2696.4320724797167,4657,6,-21281.39961223787,-21242.722851779978,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.002329443032417696,True,21.22927143268277
exact_corr_joint,joint,exact,sigma_epsilon,0.020793696782449463,0.00028799263087104967,False,10646.699806118935,7950.267733639218,2696.4320724797167,4657,6,-21281.39961223787,-21242.722851779978,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.002329443032417696,True,21.22927143268277
exact_corr_joint,joint,exact,mu,0.16228026474124382,0.12405590558122219,False,10646.699806118935,7950.267733639218,2696.4320724797167,4657,6,-21281.39961223787,-21242.722851779978,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.002329443032417696,True,21.22927143268277
exact_corr_joint,joint,exact,sigma,0.25,,True,10646.699806118935,7950.267733639218,2696.4320724797167,4657,6,-21281.39961223787,-21242.722851779978,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.002329443032417696,True,21.22927143268277
