model,lag,acf
exact_corr_curve,0,1.0
exact_corr_curve,1,0.7720972222627689
exact_corr_curve,2,0.7233539066303122
exact_corr_curve,3,0.7279168493238556
exact_corr_curve,4,0.730973108558833
exact_corr_curve,5,0.708820138945002
exact_corr_curve,6,0.7003445940686097
exact_corr_curve,7,0.668744197265517
exact_corr_curve,8,0.6708444870742551
exact_corr_curve,9,0.672632641678208
exact_corr_curve,10,0.6961590308449778
exact_corr_curve,11,0.6476253139906822
exact_corr_curve,12,0.6261071338168176
exact_corr_curve,13,0.6396781379113614
exact_corr_curve,14,0.6470029128180883
exact_corr_curve,15,0.6311115467397629
exact_corr_curve,16,0.6175166566074412
exact_corr_curve,17,0.6113721246762268
exact_corr_curve,18,0.6021949476239783
exact_corr_curve,19,0.6094523742595909
exact_corr_curve,20,0.6078876186273547
exact_corr_joint,0,1.0
exact_corr_joint,1,0.7759039247701903
exact_corr_joint,2,0.7267663459063347
exact_corr_joint,3,0.7305225298870373
exact_corr_joint,4,0.7330945172175903
exact_corr_joint,5,0.7114997222276296
exact_corr_joint,6,0.7025620281354585
exact_corr_joint,7,0.6723860061142481
exact_corr_joint,8,0.6742190444509657
exact_corr_joint,9,0.6750644589541474
exact_corr_joint,10,0.6974656107863544
exact_corr_joint,11,0.6491815301303648
exact_corr_joint,12,0.6285528604824916
exact_corr_joint,13,0.6409629372756291
exact_corr_joint,14,0.6485494347869561
exact_corr_joint,15,0.6335955497946283
exact_corr_joint,16,0.6203789159167544
exact_corr_joint,17,0.6143097202060241
exact_corr_joint,18,0.6050649299254737
exact_corr_joint,19,0.6115113673829061
exact_corr_joint,20,0.6102226316053222
exact_rho0_curve,0,1.0
exact_rho0_curve,1,0.7720987717945772
exact_rho0_curve,2,0.7232742545411718
exact_rho0_curve,3,0.7278246523423266
exact_rho0_curve,4,0.7308948530814688
exact_rho0_curve,5,0.7087216238965631
exact_rho0_curve,6,0.7002697023852763
exact_rho0_curve,7,0.668670209404452
exact_rho0_curve,8,0.6707674697634587
exact_rho0_curve,9,0.6725699701704358
exact_rho0_curve,10,0.6961231226468169
exact_rho0_curve,11,0.6475842286010899
exact_rho0_curve,12,0.6260126355724326
exact_rho0_curve,13,0.6395751827953315
exact_rho0_curve,14,0.6469258365519167
exact_rho0_curve,15,0.6310163220692867
exact_rho0_curve,16,0.6174236255789483
exact_rho0_curve,17,0.611253990738142
exact_rho0_curve,18,0.6021395868682072
exact_rho0_curve,19,0.6094217999698586
exact_rho0_curve,20,0.6078702405532443
exact_rho0_joint,0,1.0
exact_rho0_joint,1,0.7733962546855602
exact_rho0_joint,2,0.7245486426170643
exact_rho0_joint,3,0.7289093386074051
exact_rho0_joint,4,0.7318176745615631
exact_rho0_joint,5,0.709802865410428
exact_rho0_joint,6,0.7012634672760941
exact_rho0_joint,7,0.6700038163434183
exact_rho0_joint,8,0.672030694613151
exact_rho0_joint,9,0.6735893534146534
exact_rho0_joint,10,0.6968788420811886
exact_rho0_joint,11,0.6484902472006342
exact_rho0_joint,12,0.6271269544486302
exact_rho0_joint,13,0.6404090488650382
exact_rho0_joint,14,0.647776824548276
exact_rho0_joint,15,0.6320492028022813
exact_rho0_joint,16,0.6185472065277334
exact_rho0_joint,17,0.6124071840361731
exact_rho0_joint,18,0.6032660593067242
exact_rho0_joint,19,0.6103561436211355
exact_rho0_joint,20,0.608838558827225
legacy_curve,0,1.0
legacy_curve,1,0.7733597826283469
legacy_curve,2,0.7242767502363293
legacy_curve,3,0.7285152892952018
legacy_curve,4,0.7312212555059171
legacy_curve,5,0.7090416158884841
legacy_curve,6,0.7006695678350259
legacy_curve,7,0.6691514195685863
legacy_curve,8,0.6711432464331648
legacy_curve,9,0.6726285125706063
legacy_curve,10,0.6959867128989609
legacy_curve,11,0.6477082680774502
legacy_curve,12,0.6261207368838954
legacy_curve,13,0.6395319585556405
legacy_curve,14,0.6467257045869675
legacy_curve,15,0.630836542934506
legacy_curve,16,0.6173192796920862
legacy_curve,17,0.6110570168364553
legacy_curve,18,0.6017760957361141
legacy_curve,19,0.6088256236117686
legacy_curve,20,0.6073472348599757
