window,model,model_label,date,n_observations,carry_squared_error,carry_absolute_error,futures_squared_error,futures_absolute_error,comparison_log_likelihood,mean_log_predictive_score
1,constant_carry,Constant carry noise,2024-03-05,4,0.006496948634696251,0.0567643027071187,995.7972898232975,30.81315492495969,3.6658183851274675,0.9164545962818669
1,constant_carry,Constant carry noise,2024-03-06,4,0.0027676769506978743,0.035928774251242815,255.98174522726643,13.576273499185845,9.843614933728286,2.4609037334320716
1,constant_carry,Constant carry noise,2024-03-07,4,0.00017729080352202705,0.011074450804525546,56.275091303093944,6.561907450438866,10.350350845567784,2.587587711391946
1,constant_carry,Constant carry noise,2024-03-08,3,5.393896267803808e-05,0.006411295971605335,120.51670730628501,9.382319012094134,8.23600005807778,2.7453333526925934
1,constant_carry,Constant carry noise,2024-03-11,3,0.00015975481132902137,0.009232132030038878,78.29606101085109,7.919329545587364,7.8609658264000855,2.6203219421333617
1,constant_carry,Constant carry noise,2024-03-12,3,3.676867141435909e-05,0.005397691905145168,70.75036403686839,7.291174147628529,8.679844073634863,2.8932813578782874
1,constant_carry,Constant carry noise,2024-03-13,3,2.712707381396059e-05,0.004696917479222458,94.40268522281787,8.26864607655049,8.93277454707092,2.977591515690307
1,constant_carry,Constant carry noise,2024-03-14,3,3.6997866852108905e-05,0.005092693977485949,75.30786639422125,7.09337926167306,9.154912033653225,3.051637344551075
1,constant_carry,Constant carry noise,2024-03-15,3,0.0009202239861906119,0.02547846542360464,980.1191938261746,28.937371742934374,8.092249894118222,2.697416631372741
1,constant_carry,Constant carry noise,2024-03-18,4,0.000488570541472142,0.01993275846046242,701.120371480574,23.232543086615124,12.447031589509223,3.1117578973773057
1,constant_carry,Constant carry noise,2024-03-19,4,0.0003807428611958901,0.017032993793567326,258.54841968666426,15.382590554891522,12.48503944195317,3.1212598604882924
1,constant_carry,Constant carry noise,2024-03-20,4,6.341976277315263e-05,0.007773708460158402,124.7023387929168,10.001865574035719,12.179476751392135,3.044869187848034
1,constant_carry,Constant carry noise,2024-03-21,4,2.300289665350535e-05,0.0042331898946290775,109.60894249365519,7.502854790239326,12.96972205219075,3.2424305130476876
1,constant_carry,Constant carry noise,2024-03-22,4,0.00017968822118590106,0.012182807760484686,162.59301978524624,11.406905583534353,11.677165008304186,2.9192912520760466
1,constant_carry,Constant carry noise,2024-03-25,4,8.382330369304506e-05,0.008244485631055645,85.49545700703538,8.020702226474896,9.127778258740985,2.2819445646852463
1,constant_carry,Constant carry noise,2024-03-26,4,0.000808015701125669,0.023851375025710584,376.7380210194425,16.660938532181717,11.402689477509387,2.850672369377347
1,constant_carry,Constant carry noise,2024-03-27,4,0.00038277081550569937,0.017023181700230837,198.81070830435104,12.12386005611961,10.383677033418813,2.5959192583547033
1,constant_carry,Constant carry noise,2024-03-28,4,0.0006591077503753248,0.019399314424298954,275.22387108838745,13.994681897566352,10.860030905633787,2.7150077264084467
1,constant_carry,Constant carry noise,2024-03-29,4,6.613120097134174e-05,0.007823628107961444,174.10501049334005,10.058827242641655,9.762925785835382,2.4407314464588454
1,constant_carry,Constant carry noise,2024-04-01,4,0.0005393421079188648,0.020017332297836917,706.8743164178604,19.595176131025028,9.282459739651632,2.320614934912908
1,constant_carry,Constant carry noise,2024-04-02,4,0.000312599761462204,0.015802466440458705,210.59769496469383,13.025514145187572,11.013407946220102,2.7533519865550256
1,constant_carry,Constant carry noise,2024-04-03,4,0.00022272827139870597,0.013360674321951097,132.17360733203935,9.586714374906933,9.977933261118642,2.4944833152796604
1,constant_carry,Constant carry noise,2024-04-08,4,0.006446312862198408,0.06379318584996871,1182.833640234888,33.32043628840847,9.571174409093455,2.392793602273364
1,constant_carry,Constant carry noise,2024-04-09,4,0.0003944364102034604,0.015843801705549148,146.36417354824582,10.097978990320826,10.327619666605472,2.581904916651368
1,constant_carry,Constant carry noise,2024-04-10,4,0.0006443822561043668,0.021079535754647168,168.10841205751805,10.215723032608139,10.472397677507567,2.618099419376892
1,constant_carry,Constant carry noise,2024-04-11,4,0.00033584989254332017,0.013571015652348004,95.97144594111796,8.064239989647831,6.101095897578508,1.525273974394627
1,constant_carry,Constant carry noise,2024-04-12,3,0.000730323940600689,0.022407651680582157,397.09058914154235,16.523460489538593,5.341718162760203,1.7805727209200677
1,constant_carry,Constant carry noise,2024-04-15,3,0.0006077235189628667,0.020044529671958394,396.89547404462996,14.961653354241207,1.3287528569944893,0.4429176189981631
1,constant_carry,Constant carry noise,2024-04-16,3,0.00010158491675585849,0.00881759195354224,192.51548693261248,11.363379493994216,4.029131752056985,1.3430439173523283
1,constant_carry,Constant carry noise,2024-04-17,3,0.0011558601012431188,0.027089636054347596,821.1744413565408,23.970535290423868,0.6443216731077541,0.21477389103591804
1,constant_carry,Constant carry noise,2024-04-18,3,0.00010863264588767239,0.009260011653980549,324.87325196939383,13.598313039687127,3.6154207527679594,1.2051402509226532
1,constant_carry,Constant carry noise,2024-04-19,3,0.0020427498010435713,0.03675796769696648,713.6835391540052,21.56705952514464,0.8414945868738286,0.28049819562460954
1,constant_carry,Constant carry noise,2024-04-22,4,0.00041188637350470143,0.018015805036511526,1887.378370762868,31.165084250491418,-0.8399284685562183,-0.20998211713905457
1,constant_carry,Constant carry noise,2024-04-23,4,0.0008493533514758616,0.023647129458802416,569.1214079717147,21.230094851870717,3.1721849083930618,0.7930462270982654
1,constant_carry,Constant carry noise,2024-04-24,4,0.003042683819425035,0.0419091879494546,2481.599145210805,42.642992530280935,-2.662376214969628,-0.665594053742407
1,constant_carry,Constant carry noise,2024-04-25,4,0.00026978604714240873,0.013731288767130256,539.6094919613703,16.647130088717404,3.661132291171864,0.915283072792966
1,constant_carry,Constant carry noise,2024-04-26,4,0.002831743367097807,0.04249496279943002,2738.45738916322,44.63236315460358,3.038011316820752,0.759502829205188
1,constant_carry,Constant carry noise,2024-04-29,4,0.0023017678942291336,0.040834582166523345,3169.1940660871614,47.89177522402497,3.5850610230286932,0.8962652557571733
1,constant_carry,Constant carry noise,2024-04-30,4,0.0009085332744316875,0.022851813254799277,474.30500327335227,17.679826500623903,8.495647603129203,2.123911900782301
1,constant_carry,Constant carry noise,2024-05-06,4,0.0008830005608427699,0.022237240300138465,495.9535334266267,17.806815811338993,9.904680100374902,2.4761700250937255
1,constant_carry,Constant carry noise,2024-05-07,4,0.00023824336256514334,0.013079111507320006,151.47033194580803,11.432512772425298,9.607069310317382,2.4017673275793454
1,constant_carry,Constant carry noise,2024-05-08,4,0.000222859402855173,0.01069753372527759,179.760828653844,10.368177633925825,2.750679537278705,0.6876698843196762
1,constant_carry,Constant carry noise,2024-05-09,4,0.00043574517601441086,0.016038785659338552,601.910401570554,17.173864843140336,4.180518484067806,1.0451296210169514
1,constant_carry,Constant carry noise,2024-05-10,3,0.0003499599658070949,0.014277421011782357,329.0784884922323,17.40772857799857,8.190498159741527,2.7301660532471757
1,constant_carry,Constant carry noise,2024-05-13,3,0.00016998727816331944,0.010241827710097698,145.61398881663294,11.65540530022372,9.97474910720511,3.32491636906837
1,constant_carry,Constant carry noise,2024-05-14,3,0.00012063100613657986,0.008790174539731313,108.10308551353974,10.315766410441938,10.07060043309265,3.3568668110308835
1,constant_carry,Constant carry noise,2024-05-15,3,1.2441680374491748e-05,0.002939180628114176,71.71988503554222,6.973328611616732,9.912968735237676,3.304322911745892
1,constant_carry,Constant carry noise,2024-05-16,3,6.421013002536032e-05,0.006876221924600624,79.49802655072418,8.55914644839504,10.08691642209206,3.3623054740306864
1,constant_carry,Constant carry noise,2024-05-17,3,0.001580707499486568,0.03246961306772919,1660.1292844851453,39.64998706323968,8.841525923991032,2.9471753079970107
1,constant_carry,Constant carry noise,2024-05-20,4,0.0008905740082123391,0.024524076950482608,644.9893627001452,23.677071612903774,13.032167451111665,3.258041862777916
1,constant_carry,Constant carry noise,2024-05-21,4,0.0001856314450780526,0.011238592814837023,175.67961645112217,11.312416823585636,11.179562279718702,2.7948905699296756
1,constant_carry,Constant carry noise,2024-05-22,4,4.607265686624092e-05,0.006306817703214354,84.77908178603288,8.32822165020184,13.343297628102775,3.3358244070256937
1,constant_carry,Constant carry noise,2024-05-23,4,4.4947513366594327e-05,0.005206895689065603,79.94243848358425,7.619205151529286,11.575543756445756,2.893885939111439
1,constant_carry,Constant carry noise,2024-05-24,4,0.00029091842212364234,0.014455270378018636,207.47902242814365,13.087172771477299,10.840086846912811,2.710021711728203
1,constant_carry,Constant carry noise,2024-05-27,4,0.0005890502082938801,0.01979550866035119,338.52095707995954,15.667250526241332,10.31235303567895,2.5780882589197374
1,constant_carry,Constant carry noise,2024-05-28,4,0.00025074793189417365,0.013252177311148253,182.1557736771704,11.162592036144133,10.953992224769724,2.738498056192431
1,constant_carry,Constant carry noise,2024-05-29,4,0.00018824275220720137,0.011968689774494896,170.437724373918,11.691690330943402,9.606560877678803,2.4016402194197006
1,constant_carry,Constant carry noise,2024-05-30,4,0.0008484955985485013,0.021267539295300036,431.2181164559118,17.616788726943923,9.685907574970265,2.4214768937425664
1,constant_carry,Constant carry noise,2024-05-31,4,7.72719949302342e-05,0.00768869621196645,213.05607220036418,11.077849538982719,9.499727596337603,2.374931899084401
1,constant_carry,Constant carry noise,2024-06-03,4,0.0026460521470224032,0.040458638084198154,809.063252838133,26.022280040268242,11.206656318299968,2.801664079574992
1,constant_carry,Constant carry noise,2024-06-04,4,0.0003799896728238907,0.013296891143285722,233.33145869730703,10.93078604215475,9.334759452797902,2.3336898631994756
1,constant_carry,Constant carry noise,2024-06-05,4,0.00016249435000884703,0.010093077606367708,187.14494018465302,9.94322081348173,8.584568544700225,2.1461421361750563
1,constant_carry,Constant carry noise,2024-06-06,4,6.0648639696984585e-05,0.007478842169433935,195.07601678421327,9.992067345875057,9.250905807940267,2.3127264519850668
1,constant_carry,Constant carry noise,2024-06-07,4,0.0014197506904291466,0.02908451343078542,258.0442790184027,15.771937446723541,10.578947881734843,2.6447369704337107
1,constant_carry,Constant carry noise,2024-06-11,4,0.0006291423065934595,0.015388069149860926,246.8734671657085,9.973184502300455,4.901387768777525,1.2253469421943812
1,constant_carry,Constant carry noise,2024-06-12,4,0.0026208260647137614,0.037671675933829946,315.4269413921214,16.405279669370657,11.51016542390018,2.877541355975045
1,constant_carry,Constant carry noise,2024-06-13,4,0.0002532824362115951,0.013815986582066949,110.55926839152008,8.724504388253763,10.799555848387838,2.6998889620969595
