window,cut_date,test_start,test_end,model,model_label,maturity_bucket,n_observations,carry_rmse_bps,carry_mae_bps,carry_mean_bias_bps,futures_rmse_points,futures_mae_points,futures_mean_bias_points,marginal_standardized_innovation_rms,mean_observation_noise_carry_bps
1,2024-03-04,2024-03-05,2024-08-27,constant_carry,Constant carry noise,6-10,28,640.226552558973,497.4259457780048,113.60760258102472,10.646940555537004,8.124944165899674,-2.6692372457392657,0.6858981046571887,48.29268580666382
1,2024-03-04,2024-03-05,2024-08-27,constant_carry,Constant carry noise,11-15,25,656.9225413962914,483.5762462951543,-118.03607995680952,17.15894257982782,13.00293759174172,3.1622727461094473,0.918917758729478,48.292685806663826
1,2024-03-04,2024-03-05,2024-08-27,constant_carry,Constant carry noise,16-21,36,248.73856501398208,189.19957240007056,38.86607731325674,9.422910480502617,7.1693271740836435,-1.7342332224952013,0.45675330228029526,48.29268580666382
1,2024-03-04,2024-03-05,2024-08-27,constant_carry,Constant carry noise,22-42,116,242.24293548290302,191.41452081438652,75.08194852542421,15.719139793594632,12.376483767290516,-5.197865043188946,0.7037058725216159,48.292685806663805
1,2024-03-04,2024-03-05,2024-08-27,constant_carry,Constant carry noise,43-63,43,154.2012129892018,121.71728541063669,103.52417101277017,16.376696919740525,13.081418546802631,-11.027032752309678,0.6941193064893854,48.29268580666382
1,2024-03-04,2024-03-05,2024-08-27,constant_carry,Constant carry noise,64-126,123,99.06368784410616,74.49590728618037,0.15440226448179234,19.086686105439917,14.139977835127954,1.3848838426327983,0.7477298585774192,48.29268580666382
1,2024-03-04,2024-03-05,2024-08-27,constant_carry,Constant carry noise,127-252,73,102.58361512484609,70.78642553206855,-62.96916115424241,31.39839373812981,20.992526540409205,18.78327461984446,1.0741069351800228,48.29268580666382
1,2024-03-04,2024-03-05,2024-08-27,two_bucket_carry,Two carry-noise buckets,6-10,28,623.7183755549919,437.69554583516486,102.87605059996446,10.271589819844104,7.018439606275414,-2.2006784824425267,0.7684871801993538,278.4385700378012
1,2024-03-04,2024-03-05,2024-08-27,two_bucket_carry,Two carry-noise buckets,11-15,25,726.447278460688,525.4497794725812,-256.07011832146674,19.1282124875051,14.215616159603451,6.830435593273287,1.0472309031890183,278.4385700378012
1,2024-03-04,2024-03-05,2024-08-27,two_bucket_carry,Two carry-noise buckets,16-21,36,247.77116062242965,189.4123978536846,23.363185615166607,9.382577453027473,7.164388713929283,-1.1471432779097388,0.47799025831856096,31.633761362162186
1,2024-03-04,2024-03-05,2024-08-27,two_bucket_carry,Two carry-noise buckets,22-42,116,231.92720796923598,176.90893726744375,31.260232273442618,15.091542371794892,11.407142794071943,-2.297811982061297,0.6502939869932234,31.633761362162186
