window,model,model_label,training_dates,cut_date,test_start,test_end,n_observations,carry_rmse_bps,carry_mae_bps,carry_mean_bias_bps,futures_rmse_points,futures_mae_points,futures_mean_bias_points,marginal_standardized_innovation_rms,comparison_log_predictive_score,mean_log_predictive_score,kappa_slow,kappa_fast,theta,eta_slow,eta_fast,sigma_carry,kappa_gap,gap_at_upper_bound,eta_fast_at_upper_bound,optimizer_converged,sigma_short,sigma_long,sigma_log_futures
1,constant_carry,Constant carry noise,391,2024-03-04,2024-03-05,2024-08-27,444,277.9338204847755,168.01092475840753,23.001301246386443,19.60781402337492,13.694847928816595,0.9150693385032777,0.7840530158895473,1133.425378186957,2.5527598607814346,0.5176524064315077,36.137457183689946,0.10595098474185244,0.06303701452034866,2.628337345040311,0.0048292685806663824,35.61980477725844,False,False,True,,,
1,two_bucket_carry,Two carry-noise buckets,391,2024-03-04,2024-03-05,2024-08-27,444,280.83964323030176,159.01932795354278,7.9140703476948735,17.376708497421834,12.480885367271288,-0.015953822677401402,0.7228875122692373,1168.737973396379,2.632292732874727,0.3469383889930571,21.888415784379333,0.06984040993274186,0.05347318638101614,1.7117951914024507,,21.541477395386277,False,False,True,0.027843857003780118,0.003163376136216219,
1,constant_log_futures,Constant log-futures noise,391,2024-03-04,2024-03-05,2024-08-27,444,278.60007370107604,159.5947862361525,-1.8645061718149496,16.67682074076785,12.251830573828405,-1.3652097145221813,0.7136885971840841,1342.1421095578626,3.022842589094285,0.23459407938754437,18.68651798897348,0.04745610237937426,0.04673939030065767,1.5150109497656,,18.451923909585936,False,False,True,,,0.0008236044729618963
2,constant_carry,Constant carry noise,511,2024-08-27,2024-08-28,2025-03-03,443,411.71641971630845,221.52429323350438,2.2791370434708287,27.017788437900297,18.40236652443146,-2.144325198341821,1.1500895238867999,1281.8385916790892,2.893540839004716,1.5849767875290535,38.964250103343495,0.06844548280432716,0.08261835358915344,2.4874342449957316,0.005450172342710438,37.379273315814444,False,False,True,,,
2,two_bucket_carry,Two carry-noise buckets,511,2024-08-27,2024-08-28,2025-03-03,443,374.38760908926724,213.13293986412384,0.6702213355922022,26.870947102885754,18.196847704641627,-1.718232491403008,1.103362615405018,1290.1771537672812,2.9123637782557137,1.177979875092738,18.998229764721298,0.05340066204551324,0.06524065414961383,1.37311199490898,,17.82024988962856,False,False,True,0.0325942762772586,0.0036960149859244953,
2,constant_log_futures,Constant log-futures noise,511,2024-08-27,2024-08-28,2025-03-03,443,368.62678115930987,208.5020997515536,6.098248346169531,26.182909246965522,17.605742059681997,-0.45364500620368087,1.0952665540488065,1336.6903823780017,3.0173597796343152,0.5942902276016513,15.382365865210051,0.03670377995780656,0.04846709714372198,1.1710610181821417,,14.7880756376084,False,False,True,,,0.000901460391437842
3,constant_carry,Constant carry noise,631,2025-03-03,2025-03-04,2025-08-25,444,458.9780510161606,200.97337095497673,27.494027508876314,26.786245223414685,18.743458353619506,-2.252537128359938,1.0478035802784202,1237.6418138765298,2.787481562784977,1.5625273673311115,42.45048273395933,0.07365070001437898,0.08221038995602326,2.8109330873960245,0.005512026921321275,40.88795536662822,False,False,True,,,
3,two_bucket_carry,Two carry-noise buckets,631,2025-03-03,2025-03-04,2025-08-25,444,433.5075092987957,199.96390655943966,25.89510935879333,25.66448191445927,17.670032748639194,-1.6456964178274014,1.0173272471779133,1317.921583853734,2.968291855526428,0.9315148328256555,20.647745593125652,0.06148080841828749,0.060460155025597304,1.5179087359571948,,19.716230760299997,False,False,True,0.03228900029710691,0.003848965702839803,
3,constant_log_futures,Constant log-futures noise,631,2025-03-03,2025-03-04,2025-08-25,444,425.85753501966224,197.48797761206853,20.018034462582218,25.278653424639156,17.301705100770654,-1.5503658516972647,1.0327998440564259,1380.33440033123,3.1088612620072746,0.5108467856939158,16.97949307486499,0.04393380448328856,0.04700598938318493,1.2994802027059187,,16.468646289171076,False,False,True,,,0.000940853559327147
4,constant_carry,Constant carry noise,751,2025-08-25,2025-08-26,2026-02-27,444,401.29451692050753,234.25518019269308,-11.400228790573912,34.83502395049076,26.187521158527268,-2.8934216425977435,1.0205217053307682,1212.2187284252839,2.730222361318207,1.7683723335955779,46.000466528461686,0.07499178880081217,0.08940782734738019,3.0046405361915838,0.005771853058038971,44.23209419486611,False,False,True,,,
