model,model_label,maturity_bucket,n_observations,carry_rmse_bps,carry_mae_bps,carry_mean_bias_bps,futures_rmse_points,futures_mae_points,futures_mean_bias_points,marginal_standardized_innovation_rms,mean_observation_noise_carry_bps
constant_carry,Constant carry noise,6-10,50,967.3098040053096,752.8594529456251,5.804176587754106,25.48319186345849,19.129090795268457,-0.04479873088068416,1.0620606007526925,59.15647373780665
constant_carry,Constant carry noise,11-15,50,552.1730373983663,428.79807145376304,-18.080670657446614,24.32296236560373,18.395700215459783,0.519486731087909,0.8406573536449157,59.15647373780665
constant_carry,Constant carry noise,16-21,57,401.20228963918635,304.03893252991037,-8.524935261491024,24.360849642683903,18.36396673552099,0.6105858552309177,0.7907634190053034,59.15647373780665
constant_carry,Constant carry noise,22-42,182,309.8160427362078,233.61217113630664,-64.06473265147652,29.577870874329015,22.591405752662197,6.221589907267417,0.9408987755312765,59.15647373780667
constant_carry,Constant carry noise,43-63,65,201.41626259013674,154.08234917948926,-70.71903871998265,32.528704252328296,25.11941397329812,10.767332104154411,0.9901702010803783,59.15647373780666
constant_carry,Constant carry noise,64-126,204,116.66157451514003,90.56630312187279,9.176890656327096,34.72494813624399,26.52901886215219,-3.3363034642881497,0.9074417302420128,59.15647373780667
constant_carry,Constant carry noise,127-252,128,98.46181426886164,77.94412217011462,55.199372552380744,44.098982132570455,34.531433973043875,-23.56707862974092,0.9993301071326144,59.15647373780667
two_bucket_carry,Two carry-noise buckets,6-10,50,880.6927951331251,689.9935453705218,57.489283243597654,23.375790868976374,17.665385256511872,-1.4368718399669524,1.1961510637797002,367.9468757388587
two_bucket_carry,Two carry-noise buckets,11-15,50,550.703752399187,430.0560931131012,57.3318017485116,24.690897726676653,18.539957325925553,-2.4735851828237903,0.8442167292612756,367.9468757388587
two_bucket_carry,Two carry-noise buckets,16-21,57,403.8360794577563,307.0717763115201,20.168157454559076,24.545950762144116,18.55892529280609,-1.0613426049454862,0.8658850483354016,39.33269761445556
two_bucket_carry,Two carry-noise buckets,22-42,182,311.0192508272151,233.85214168216947,-13.745195062150538,29.715701204833344,22.625789975398526,1.2456387970303864,0.8940599126180364,39.332697614455554
two_bucket_carry,Two carry-noise buckets,43-63,65,205.3048700532446,157.63218425383445,-49.559983139467434,33.51238518577495,25.80812576787641,7.519187072661379,0.9083810344449774,39.33269761445556
two_bucket_carry,Two carry-noise buckets,64-126,204,118.39604908985727,90.07967278859401,-7.97359157617895,34.90136731432096,26.287653962016204,2.364434410171043,0.8761945618571276,39.332697614455554
two_bucket_carry,Two carry-noise buckets,127-252,128,84.107401640491,62.85670044869965,24.65074424297521,38.6174218081245,28.376930226674837,-10.343491042476735,0.8941629838082772,39.33269761445556
smooth_carry_log,Smooth carry + log-price noise,6-10,50,890.3619065948003,686.4344498103379,23.13166336313114,23.746988817232722,17.54826590451523,-0.4843563660278778,1.3158944091564089,309.3422443017745
smooth_carry_log,Smooth carry + log-price noise,11-15,50,540.9277955391451,413.31976848021856,55.99985554934478,24.223211067597905,17.814691686265597,-2.55089060463999,0.9851073400873922,186.50600659041308
smooth_carry_log,Smooth carry + log-price noise,16-21,57,403.15999241046325,309.9774932254792,30.40726980469206,24.51757838614939,18.680830688129152,-1.627276497432193,0.851152554190919,130.46954822808826
smooth_carry_log,Smooth carry + log-price noise,22-42,182,317.22869178495984,236.62361653318575,-3.0041663267051777,30.241727165042114,22.80128686983561,0.08044580431132399,0.8951691971632326,80.36614620412384
smooth_carry_log,Smooth carry + log-price noise,43-63,65,201.45711373647873,155.72919212813966,-39.293782933667416,32.86662274224322,25.433999531599692,6.123582663701633,0.878254056089338,46.10990991176404
smooth_carry_log,Smooth carry + log-price noise,64-126,204,118.12057641764733,88.06573623226748,-10.53064627839948,34.35306074132118,25.48561758903212,3.278272364273321,0.8883540906480321,26.333818800727258
smooth_carry_log,Smooth carry + log-price noise,127-252,128,79.7799791930391,58.75071008253224,9.780086448083177,36.985903659204624,26.610484998707577,-3.989409122543563,0.9409263203777284,16.586862563593396
constant_log_futures,Constant log-futures noise,6-10,50,890.351999233148,686.4291404239692,23.11829048535622,23.746735792570444,17.548138293984174,-0.48401207627504844,1.3159804427638877,309.34280995796473
constant_log_futures,Constant log-futures noise,11-15,50,540.9221811201061,413.31770999037104,55.99505661132791,24.222939175139622,17.814592693978703,-2.5506909146102044,0.9851688170650762,186.5063475358721
constant_log_futures,Constant log-futures noise,16-21,57,403.15864334380944,309.97611341395714,30.40170077343328,24.51749535253304,18.680752545240434,-1.62696072989852,0.8512057773607524,130.4697866253557
constant_log_futures,Constant log-futures noise,22-42,182,317.22786093193184,236.62297710808568,-3.003038768679185,30.241677052227278,22.80123025782472,0.08030492405737027,0.8952111804279487,80.3662928251491
constant_log_futures,Constant log-futures noise,43-63,65,201.45664525732744,155.7290161118935,-39.29114173694044,32.86658016455331,25.433973722733278,6.123180722790676,0.8782791110552965,46.109993627809054
constant_log_futures,Constant log-futures noise,64-126,204,118.12110882276671,88.06596970982012,-10.52915522940293,34.3531918624883,25.48567339540509,3.2778604018071165,0.8883760556845753,26.33386586392652
constant_log_futures,Constant log-futures noise,127-252,128,79.78014862490942,58.7508671580833,9.779487772235404,36.985992324164656,26.610566123679504,-3.9891244052524826,0.9409478050956487,16.58689120942761
